venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2023,poster,Relation between nonclassical features through logical qudits,,Sooryansh Asthana;V. Ravishankar,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,BBM92 quantum key distribution over a free space dusty channel of 200 meters,,Sarika Mishra;Ayan Biswas;R.P. Singh,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,The vacuum provides quantum advantage to otherwise simulatable architectures,,Cameron Calcluth;Alessandro Ferraro;Giulia Ferrini,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Fault-Tolerant Preparation of Quantum Polar Codes Encoding One Logical Qubit,,Ashutosh Kumar Goswami;Mehdi Mhalla;Valentin Savin,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Multipartite Entanglement Detection via Correlation Minor Norm,,Rain Lenny;Amit Te'Eni;Bar Peled;Eliahu Cohen,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,The energetic cost of large-scale quantum computing,,Marco Fellous-Asiani;Jing Hao Chai;Yvain Thonnart;Hui Khoon Ng;Robert Whitney;Alexia Auffèves,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Out-of-distribution generalization for learning quantum dynamics and dynamical simulation,,Matthias C. Caro;Hsin-Yuan Huang;Joe Gibbs;Nic Ezzell;Andrew Sornborger;Lukasz Cincio;Patrick Coles;Zoe Holmes,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Quantum Regularized Least Squares,,Shantanav Chakraborty;Aditya Morolia;Anurudh Peduri,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Finite speed of quantum information in models of interacting bosons at finite density,,Chao Yin;Andrew Lucas,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Privacy and correctness trade-offs for information-theoretically secure quantum homomorphic encryption,,Yanglin Hu;Yingkai Ouyang;Marco Tomamichel,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Entanglement transitivity problems,,Gelo Noel Tabia;Kai-Siang Chen;Chung-Yun Hsieh;Yu-Chun Yin;Yeong-Cherng Liang,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Transformation of an unknown unitary operation: complex conjugation,,Tomasz Młynik,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Phase Estimation of Local Hamiltonians on NISQ Hardware,,Laura Clinton;Johannes Bausch;Toby Cubitt;Joel Klassen,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Creating quantum-resistant classical-classical OWFs from quantum-classical OWFs,,Wei Zheng Teo;Marco Carmosino;Lior Horesh,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Tailored cluster states with high threshold under biased noise,,Jahan Claes;Eli Bourassa;Shruti Puri,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Communication with Unreliable Entanglement Assistance,,Uzi Pereg;Christian Deppe;Holger Boche,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Optimal input states for quantifying the performance of continuous-variable unidirectional and bidirectional teleportation,,Hemant Mishra;Samad Oskouei;Mark Wilde,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Pseudo standard entanglement structure cannot be distinguished from standard entanglement structure,,Hayato Arai;Masahito Hayashi,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Detecting entanglement in quantum many-body systems via permutation moments,,Zhenhuan Liu;Yifan Tang;Hao Dai;Pengyu Liu;Shu Chen;Xiongfeng Ma,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Contextuality as a precondition for entanglement,,Martin Plávala;Otfried Gühne,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
QIP,2023,poster,Avoiding barren plateaus using classical shadows,,Stefan Sack;Raimel Medina;Richard Kueng;Alexios Michailidis;Maksym Serbyn,,,,,,,Monday session,,Source: https://qip.iaqi.org/2023/event/13076/page/3896-monday-session.html,,,
