venue,year,committee_type,position,full_name,affiliation,role_title
QCRYPT,2026,steering,chair,Rotem Arnon,Weizmann Institute of Science,Chair
QCRYPT,2026,steering,co_chair,Davide Rusca,University of Vigo,Vice-Chair
QCRYPT,2026,steering,member,Anne Broadbent,University of Ottawa,
QCRYPT,2026,steering,member,Charles Lim,National University of Singapore,
QCRYPT,2026,steering,member,Davide Bacco,University of Florence,
QCRYPT,2026,steering,member,Joseph Lukens,Purdue University,
QCRYPT,2026,steering,member,Kai-Min Chung,"IIS, Academia Sinica",
QCRYPT,2026,steering,member,Sheng-Kai Liao,University of Science and Technology of China,
QCRYPT,2026,program,chair,David Elkouss,Okinawa Institute of Science and Technology,Program Chair
QCRYPT,2026,program,co_chair,Nino Walenta,Fraunhofer Heinrich Hertz Institute,Program Co-Chair
QCRYPT,2026,program,member,Romain Alleaume,Télécom Paris,
QCRYPT,2026,program,member,Prabhanjan Ananth,University of California,
QCRYPT,2026,program,member,Natalia Bruno,CNR-INO,
QCRYPT,2026,program,member,Kaushik Chakraborty,JP Morgan Chase,
QCRYPT,2026,program,member,Chao Wang,National University of Singapore,
QCRYPT,2026,program,member,Cong Jiang,Tsinghua University,
QCRYPT,2026,program,member,Mina Doosti,University of Edinburgh,
QCRYPT,2026,program,member,Mate Farkas,University of York,
QCRYPT,2026,program,member,Verónica Fernández Mármol,Institute of Physical and Information Technologies,
QCRYPT,2026,program,member,George Kanellos,University of Athens,
QCRYPT,2026,program,member,Eneet Kaur,Cisco Research,
QCRYPT,2026,program,member,Boris Korzh,University of Geneva,
QCRYPT,2026,program,member,Srijita Kundu,"Foxconn Research, Quantum Computing Research Centre",
QCRYPT,2026,program,member,Katanya Kuntz,University of Waterloo,
QCRYPT,2026,program,member,Cosmo Lupo,University of Bari,
QCRYPT,2026,program,member,Tomoyuki Morimae,Yukawa Institute for Theoretical Physics,
QCRYPT,2026,program,member,Glaucia Murta,Technische Universität Wien,
QCRYPT,2026,program,member,Margarida Pereira,University of Vigo,
QCRYPT,2026,program,member,Stefano Pironio,Université libre de Bruxelles,
QCRYPT,2026,program,member,Mariana Ramos,Infineon Technologies AT,
QCRYPT,2026,program,member,Mohsen Razavi,University of Leeds,
QCRYPT,2026,program,member,Jamie Sikora,Virginia Tech,
QCRYPT,2026,program,member,Florian Speelman,University of Amsterdam,
QCRYPT,2026,program,member,Fabian Steinlechner,University Jena,
QCRYPT,2026,program,member,Shihai Sun,Sun Yat-sen University,
QCRYPT,2026,program,member,Vladyslav Usenko,Palacky University Olomouc,
QCRYPT,2026,program,member,Angeles Vazquez-Castro,Universitat Autonoma de Barcelona,
QCRYPT,2026,program,member,Wenyuan Wang,University of Calgary,
QCRYPT,2026,program,member,Yingkai Ouyang,University of Sheffield,
QCRYPT,2026,program,member,Zhiliang Yuan,Beijing Academy of Quantum Information Sciences,
QCRYPT,2026,program,member,Yanbao Zhang,Oak Ridge National Lab,
QCRYPT,2026,organizing,chair,Anne Broadbent,University of Ottawa,LOC Chair
QCRYPT,2026,organizing,member,Anne-Frédérique Thibodeau,University of Ottawa,
QCRYPT,2026,organizing,member,Arthur Mehta,University of Ottawa,
QCRYPT,2026,organizing,member,Connor Kupchak,Carleton University,
QCRYPT,2026,organizing,member,Didier Guignard,University of Ottawa,
QCRYPT,2026,organizing,member,Ebrahim Karimi,Nexus For Quantum Technologies,
QCRYPT,2026,organizing,member,Khabat Heshami,National Research Council Canada,
