venue,year,field,value,source_type,source_url,source_date,notes
QCRYPT,2015,talk_submissions,174,conference_website,2015/announcement/list-of-accepted-contributed-talks-up-on-the-web/index.html,,
QCRYPT,2015,talks_accepted,25,conference_website,2015/announcement/list-of-accepted-contributed-talks-up-on-the-web/index.html,,
