venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2019,regular,On Quantum Chosen-Ciphertext Attacks and Learning with Errors,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.1/LIPIcs.TQC.2019.1.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.1; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-03,,25
TQC,2019,regular,"Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge",Shalev Ben-David; Robin Kothari,Shalev Ben-David; Robin Kothari,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.2/LIPIcs.TQC.2019.2.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.2; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-03,,25
TQC,2019,regular,Circuit Transformations for Quantum Architectures,Andrew M. Childs; Eddie Schoute; Cem M. Unsal,Andrew M. Childs; Eddie Schoute; Cem M. Unsal,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.3/LIPIcs.TQC.2019.3.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.3; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-03,,30
TQC,2019,regular,The RGB No-Signalling Game,Xavier Coiteux-Roy; Claude Crépeau,Xavier Coiteux-Roy; Claude Crépeau,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.4/LIPIcs.TQC.2019.4.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.4; LIPIcs proceedings (Dagstuhl); schedule not matched; source_type=claude_extraction,,,
TQC,2019,regular,On the Qubit Routing Problem,Alexander Cowtan; Silas Dilkes; Ross Duncan; Alexandre Krajenbrink; Will Simmons; Seyon Sivarajah,Alexander Cowtan; Silas Dilkes; Ross Duncan; Alexandre Krajenbrink; Will Simmons; Seyon Sivarajah,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.5/LIPIcs.TQC.2019.5.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.5; LIPIcs proceedings (Dagstuhl); schedule not matched; source_type=claude_extraction,,,
TQC,2019,regular,Applications of the Quantum Algorithm for st-Connectivity,Kai DeLorenzo; Shelby Kimmel; R. Teal Witter,Kai DeLorenzo; Shelby Kimmel; R. Teal Witter,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.6/LIPIcs.TQC.2019.6.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.6; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-03,,25
TQC,2019,regular,Bayesian ACRONYM Tuning,John Gamble; Christopher Granade; Nathan Wiebe,John Gamble; Christopher Granade; Nathan Wiebe,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.7/LIPIcs.TQC.2019.7.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.7; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-04,,25
TQC,2019,invited,A Compressed Classical Description of Quantum States,David Gosset; John Smolin,David Gosset; John Smolin,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.8/LIPIcs.TQC.2019.8.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.8; LIPIcs proceedings (Dagstuhl); reclassified from regular to invited per schedule; source_type=claude_extraction,2019-06-05,morning,45
TQC,2019,regular,Approximate Unitary n^{2/3}-Designs Give Rise to Quantum Channels with Super Additive Classical Holevo Capacity,Aditya Nema; Pranab Sen,Aditya Nema; Pranab Sen,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.9/LIPIcs.TQC.2019.9.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.9; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-04,,25
TQC,2019,regular,Parameterization of Tensor Network Contraction,Bryan O'Gorman,Bryan O'Gorman,,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.10/LIPIcs.TQC.2019.10.pdf,,,Proceedings track (LIPIcs),,DOI: 10.4230/LIPIcs.TQC.2019.10; LIPIcs proceedings (Dagstuhl); source_type=claude_extraction,2019-06-04,,25
