venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2021,poster,When quantum boundary meets the non-signaling boundary,,Kai-Siang Chen;Jun-Yi Wu;Gelo Noel Tabia;Pei-Sheng Lin;Yeong-Cherng Liang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,A Hybrid Quantum-Classical Hamiltonian Learning Algorithm,,Youle Wang;Guangxi Li;Xin Wang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Efficiently generating ground states is hard for postselected quantum computation,,Yuki Takeuchi;Yasuhiro Takahashi;Seiichiro Tani,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Measurement Detection Algorithms,,Guillermo Lugilde Fernández;Elías Fernández-Combarro;Ignacio Fernández Rúa,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Randomizing multi-product formulas for improved Hamiltonian simulation,,Paul K Faehrmann;Mark Steudtner;Richard Kueng;Maria Kieferova;Jens Eisert,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Transitivity of Quantum Nonlocality,,Yu-Chun Yin;Gelo Noel Tabia;Jebarathinam Chellasamy;Yeong-Cherng Liang,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Client-Server Identification Protocols with Quantum PUF,,Mina Doosti;Niraj Kumar;Mahshid Delavar;Elham Kashefi,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Jordan products of quantum channels and their compatibility,,Mark Girard;Martin Plávala;Jamie Sikora,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Identifying the Higgs boson using quantum classifiers,,Vasilis Belis;Samuel González-Castillo;Christina Reissel;Sofia Vallecorsa;Elias F. Combarro;Günther Dissertori;Florentin Reiter,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Some Results on a Poset of Quantum Exact Promise Problems,,Elias F. Combarro;Sofia Vallecorsa;Alberto Di Meglio;Alejandro Piñera;Ignacio F. Rua,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Symmetric distinguishability as a quantum resource,,Robert Salzmann;Nilanjana Datta;Gilad Gour;Xin Wang;Mark M. Wilde,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,"Space efficient quantum algorithms for mode, min-entropy and k-distinctness",,Debajyoti Bera;Sapv Tharrmashastha,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Coherent control and distinguishability of quantum channels via PBS-diagrams,,Cyril Branciard;Alexandre Clément;Mehdi Mhalla;Simon Perdrix,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Nonlinear transformation of complex amplitudes via quantum singular value transformation,,Naixu Guo;Kosuke Mitarai;Kesuke Fujii,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Decay of mutual information for Gibbs states of local Hamiltonians,,Andreas Bluhm;Ángela Capel;Antonio Pérez-Hernández,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Emergent statistical mechanics from properties of disordered random matrix product states,,Jonas Haferkamp;Christian Bertoni;Ingo Roth;Jens Eisert,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
