venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2021,poster,Discrete-phase-randomized measurement-device-independent quantum key distribution,,Zhu Cao,East China University of Science and Technology,"Measurement-device-independent quantum key distribution removes all detector-side attacks in quantum cryptography, and in the meantime doubles the secure distance. The source side, however, is still vulnerable to various attacks. In particular, the continuous phase randomization assumption on the source side is normally not fulfilled in experimental implementation and may potentially open a loophole. In this work, we first show that indeed there are loopholes for imperfect phase randomization in measurement-device-independent quantum key distribution by providing a concrete attack. Then we propose a discrete-phase-randomized measurement-device-independent quantum key distribution protocol as a solution to close this source-side loophole. [Phys. Rev. A 101, 062325]",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Analysis of the effects of temperature increase on quantum random number generator,,Yuanhao Li;Yangyang Fei;Weilong Wang;Xiangdong Meng;Hong Wang;Qianheng Duan;Zhi Ma,"State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology;State Key Laboratory of Mathematical Engineering and Advanced Computing,Henan Key Laboratory of Network Cryptography Technology","Quantum random number generator (QRNG) relies on the intrinsic randomness of quantum mechanics to produce true random numbers which are important in many fields. QRNGs with semiconductor light source have attracted a lot of attention due to their operational simplicity and high generation rate. However, the temperature of light source may vary due to imperfect devices and other factors. There is still a lack of study on the effects of temperature variations on the security of practical QRNG. We fill this gap by presenting a numerical method for studying the effects of temperature increase on the super-luminescent emitting diode (SLED) based QRNG and propose some strategies toward robust QRNG against temperature increase.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Quantum Computationally Predicate-Binding Commitments with Application in Quantum Zero-Knowledge Arguments for NP,,Jun Yan,Jinan University,"A quantum bit commitment scheme is to realize bit (rather than qubit) commitment by exploiting quantum communication and quantum computation. In this work, we study the binding property of the quantum string commitment scheme obtained by composing a generic quantum computationally-binding bit commitment scheme in parallel. We show that the resulting scheme satisfies a stronger quantum computational binding property than the trivial honest-binding, which we call predicate-binding. Intuitively and very roughly, the predicate-binding property guarantees that given any inconsistent predicate pair over a set of strings (i.e. no strings in this set can satisfy both predicates), if a (claimed) quantum commitment can be opened so that the revealed string satisfies one predicate with certainty, then the same commitment cannot be opened so that the revealed string satisfies the other predicate except for a negligible probability. As an application, we plug a generic quantum perfectly(resp. statistically)-hiding computationally-binding bit commitment scheme in Blum's zero-knowledge protocol for the NP-complete language Hamiltonian Cycle. The quantum computational soundness of the resulting protocol will follow immediately from the quantum computational predicate-binding property of commitments. Combined with the perfect(resp. statistical) zero-knowledge property which can be similarly established as [Watrous], as well as known constructions of quantum computationally-binding bit commitment scheme, this gives rise to the first quantum perfect(resp. statistical) zero-knowledge argument system for all NP languages merely relying on quantum-secure one-way functions.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Quantum Receiver for Phase-Shift Keying at the Single-Photon Level,,Jasminder S. Sidhu;Shuro Izumi;Jonas S. Neergaard-Nielsen;Cosmo Lupo;Ulrik L. Andersen,University of Strathclyde;Technical University of Denmark;Technical University of Denmark;University of Sheffield;Technical University of Denmark,"Quantum enhanced receivers are endowed with resources to achieve higher sensitivities than conventional technologies. For application in optical communications, they provide improved discriminatory capabilities for multiple non-orthogonal quantum states. In this work, we propose and experimentally demonstrate a new decoding scheme for quadrature phase-shift encoded signals. Our receiver surpasses the standard quantum limit and outperforms all previously known non-adaptive detectors at low input powers. Unlike existing approaches, the receiver only exploits linear optical elements and on-off photo-detection. This circumvents the requirement for challenging feed-forward operations that limit communication transmission rates and can be readily implemented with current technology.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Quantum Private Information Retrieval for Quantum Messages,,Seunghoan Song;Masahito Hayashi,Nagoya University;Southern University of Science and Technology,"Quantum private information retrieval (QPIR) for quantum messages is the protocol in which a user retrieves one of the multiple quantum states from one or multiple servers without revealing which state is retrieved. We consider QPIR in two different settings: the blind setting, in which the servers contain one copy of the message states, and the visible setting, in which the servers contain the description of the message states. One trivial solution in both settings is downloading all states from the servers and the main goal of this paper is to find more efficient QPIR protocols. First, we prove that the trivial solution is optimal for one-server QPIR in the blind setting. In one-round protocols, the same optimality holds even in the visible setting. On the other hand, when the user and the server share entanglement, we prove that there exists an efficient one-server QPIR protocol in the blind setting. Furthermore, in the visible setting, we prove that it is possible to construct symmetric QPIR protocols in which the user obtains no information of the non-targeted messages. We construct two-server symmetric QPIR protocols. Note that symmetric classical PIR is impossible without shared randomness unknown to the user.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Improving the performance of reference-frame-independent quantum key distribution through a turbulent atmosphere,,Yang Xue;Lei Shi,Air Force Engineering University;Air Force Engineering University,"Reference-frame-independent quantum key distribution (RFI-QKD) can dispense with the requirements of active alignment on reference frames between legitimate users, which is beneficial for free-space implementation. However, the fluctuating transmittance due to atmospheric turbulence still remains a great challenge for improving the performance and has been seldom addressed. In this paper we extend the recently proposed prefixed-threshold real-time selection method to RFI-QKD while combining practical consideration of the transmittance probability distribution model based on the finite aperture theory. Through numerical simulations, we present an estimation for the variance of the log-normal model with respect to distance and receiving aperture radius, and demonstrate the effectiveness of using this method in the RFI protocol. Considering the finite-key effects, simulation results show that the gap of the key rate with different reference frame deviations can be alleviated by increasing the data size. By adopting this method one can tolerate more serious transmission loss, especially in strong turbulence cases, which is helpful for future free-space experimental designs.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,On-Chip Quantum Autoencoder for Teleportation of High-Dimensional Quantum States,,Hui Zhang;Lingxiao Wan;Tobias Haug;Wai-Keong Mok;Hong Cai;Muhammad Faeyz Karim;Kwek Leong Chuan;Ai Qun Liu,"Nanyang Technological University;Nanyang Technological University;National University of Singapore;National University of Singapore;Institute of Microelectronics, A*STAR (Agency for Science, Technology and Research);Nanyang Technological University;Nanyang Technological University, National University of Singapore, National Institute of Education, Singapore;Nanyang Technological University","Currently most quantum teleportation experiments are based on qubits. Here, we demonstrate a quantum autoencoder assisted teleportation for high-dimensional quantum states. Our method of training the autoencoder allows us to take a finite sample of those states, learn how to compress them to qubits with nearly unit fidelity. After training, we can teleport any further states from the sender and reconstruct them with high fidelity on the receiver part. We verify the proposed scheme by teleporting a qutrit via a silicon-photonic chip. High fidelity is achieved between the input qutrit and the qutrit recovered from the teleported qubit.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Efficient verification of continuous-variable quantum states and devices without assuming identical and independent operations,,Yadong Wu;Ge Bai;Giulio Chiribella;Nana Liu,Hong Kong University;Hong Kong University;Hong Kong University;Shanghai Jiao Tong University,"Continuous-variable quantum information, encoded into in finite-dimensional quantum systems, is a promising platform for the realization of many quantum information protocols, including quantum computation, quantum metrology, quantum cryptography, and quantum communication. To successfully demonstrate these protocols, an essential step is the certi fication of multimode continuous variable quantum states and quantum devices. This problem is well studied under the assumption that multiple uses of the same device result into identical and independently distributed (i.i.d.) operations. However, in realistic scenarios, identical and independent state preparation and calls to the quantum devices cannot be generally guaranteed. Important instances include adversarial scenarios and instances of time-dependent and correlated noise. In this paper, we propose the first set of reliable protocols for verifying multimode continuous-variable entangled states and devices in these non-i.i.d scenarios.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Sub-exponential rate versus distance with time multiplexed quantum repeaters,,Prajit Dhara;Ashlesha Patil;Hari Krovi;Saikat Guha,"Wyant College of Optical Sciences, The University of Arizona;Wyant College of Optical Sciences, The University of Arizona;Raytheon BBN Technologies;Wyant College of Optical Sciences, The University of Arizona","Shared entanglement between two remote parties is a key resource for Quantum Cryptography. Quantum communications capacity using direct transmission over length-$L$ optical fiber scales as $R \sim e^{-\alpha L}$, where $\alpha$ is the fiber's loss coefficient. The rate achieved using a linear chain of quantum repeaters equipped with quantum memories, probabilistic Bell state measurements (BSMs) and switches used for spatial multiplexing, but no quantum error correction was shown to surpass the direct-transmission capacity. However, this rate still decays exponentially with the end-to-end distance, viz., $R \sim e^{-s{\alpha L}}$, with $s < 1$. We show that the introduction of temporal multiplexing---i.e., the ability to perform BSMs among qubits at a repeater node that were successfully entangled with qubits at distinct neighboring nodes at {\em different} time steps---leads to a sub-exponential rate-vs.-distance scaling, i.e., $R \sim e^{-t\sqrt{\alpha L}}$, which is not attainable with just spatial or spectral multiplexing. We evaluate analytical upper and lower bounds to this rate and obtain the exact rate by numerically optimizing the time-multiplexing block length and the number of repeater nodes. We further demonstrate that incorporating losses in the optical switches used to implement time-multiplexing degrades the rate-vs.-distance performance, eventually falling back to exponential scaling for very lossy switches. We also examine models for quantum memory decoherence and describe optimal regimes of operation to preserve the desired boost from temporal multiplexing. QM decoherence is seen to be more detrimental to the repeater's performance over switching losses.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Efficient Routing in Quantum Key Distribution Networks with Trusted Nodes and Repeaters,,Omar Amer;Walter O. Krawec;Bing Wang,University of Connecticut;University of Connecticut;University of Connecticut,"There are two critical challenges that must be addressed for Quantum Key Distribution (QKD) to achieve wide-scale adoption. First, overcoming distance limitations and second increasing secret key generation rates. Our work investigates the design of novel routing algorithms for near-future QKD networks to help mitigate these problems. The networks we consider also may serve as a bridge between today's QKD networks and the long-term goal of a true Quantum Internet.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Spooky action of a global distance: analysis of space-based entanglement distribution for the quantum internet,,Sumeet Khatri;Anthony J. Brady;Renee A. Desporte;Manon P. Bart;Jonathan P. Dowling,Louisiana State University;Louisiana State University;Louisiana State University;Louisiana State University;Louisiana State University,"Recent experimental breakthroughs in satellite quantum communications have opened up the possibility of creating a global quantum internet using satellite links. This approach appears to be particularly viable in the near term, due to the lower attenuation of optical signals from satellite to ground, and due to the currently short coherence times of quantum memories. The latter prevents ground-based entanglement distribution using atmospheric or optical-fiber links at high rates over long distances. In this work, we propose a global-scale quantum internet consisting of a constellation of orbiting satellites that provides a continuous, on-demand entanglement distribution service to ground stations. The satellites can also function as untrusted nodes for the purpose of long-distance quantum-key distribution. We develop a technique for determining optimal satellite configurations with continuous coverage that balances both the total number of satellites and entanglement-distribution rates. Using this technique, we determine various optimal satellite configurations for a polar-orbit constellation, and we analyze the resulting satellite-to-ground loss and achievable entanglement-distribution rates for multiple ground station configurations. We also provide a comparison between these entanglement-distribution rates and the rates of ground-based quantum repeater schemes. Overall, our work provides the theoretical tools and the experimental guidance needed to make a satellite-based global quantum internet a reality.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Secure quantum key distribution with intensity correlations,,Víctor Zapatero;Álvaro Navarrete;Marcos Curty;Kiyoshi Tamaki,"University of Vigo, Spain;University of Vigo, Spain;University of Vigo, Spain;University of Toyama, Japan","In decoy-state-based QKD, GHz clocked or higher frequency transmitters exhibit correlations between the intensities of succeeding pulses. As a consequence, every pulse leaks partial information about previous intensity settings to an eavesdropper, thus invalidating the fundamental principle of the decoy-states method, i.e., the independent character of the yields from the intensity settings. In this work, we present a technique that allows to incorporate arbitrary intensity correlations to the decoy-state analysis, thereby solving a pressing problem in the race towards practical high-speed QKD systems. As a side contribution, we present a non-standard derivation of the asymptotic key rate formula from the non-asymptotic one, in so revealing a largely dismissed necessary condition for the significance of the former. We discuss this condition in full detail.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,"Equivalence of three classical algorithms with quantum side information: Privacy amplification, error correction, and data compression",,Toyohiro Tsurumaru,Mitsubishi Electric Corporation,"Privacy amplification (PA) is an indispensable component in classical and quantum cryptography. Error correction (EC) and data compression (DC) algorithms are also indispensable in classical and quantum information theory. We here study these three algorithms (PA, EC, and DC) in the presence of quantum side information, and show that they all become equivalent in the one-shot scenario. As an application of this equivalence, we take previously known security bounds of PA, and translate them into coding theorems for EC and DC which have not been obtained previously. Further, we apply these results to simplify and improve our previous result that the two prevalent approaches to the security proof of quantum key distribution (QKD) are equivalent. We also propose a new method to simplify the security proof of QKD.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,A real-time experimental QKD platform for quantum-secure telecom infrastructures,,Jan Krause;Benedikt Lezius;Richard Schilling;Jonas Hilt;Stefan Weide;Nino Walenta;Nicolas Perlot;Ronald Freund,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI;Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute, HHI","We present a quantum key distribution (QKD) platform targeting mid-range fiber, free-space and hybrid links. With its interfaces for third-party post-processing, commercial key management, encryptors and QRNG, the modular and flexible system enables easy integration into existing telecom infrastructures. Recent experiments demonstrate its seamless operation over fiber and free-space links.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Tamper Detection against Unitary Operators,,Upendra Kapshikar;Naresh Goud Boddu,"Centre for Quantum Technologies, National university of Singapore;Centre for Quantum Technologies, National university of Singapore","We consider (Enc, Dec) schemes which are used to encode a classical/quantum message m and derive an n-qubit quantum codeword ψ_m. The quantum codeword ψ_m can adversarially tamper via a unitary U∈F_u from some known tampering unitary family F_u, resulting in Uψ_mU†. Firstly, we initiate the general study of quantum tamper detection codes, which must detect that tampering occurred with high probability. In case there was no tampering, we would like to output the message m with a probability of 1. We show that quantum tamper detection codes exist for both classical messages and quantum messages for any family F_u of unitary operators, such that |F_u|<2^{2^{αn}} for some known constant α∈(0,1) and all the unitary operators satisfy one additional condition : Far from Identity : For each U∈F_u, we require that its modulus of trace value isn't too much i.e. $ |Trace(U)| \leq \phi N$, where N=2^n. Quantum tamper-detection codes are quantum generalizations of classical tamper detection codes studied by Jafargholi et al. Additionally for classical message m, if we must either output message m or detect that tampering occurred and output ⊥ with high probability, we show that it is possible without the restriction of Far from Identity condition for any family of unitary operators F_u, such that |F_u|<2^{2^αn}. We also provide efficient (Enc, Dec) schemes when the family of tampering unitary operators are from Pauli group Pn, which can be thought of as a quantum version of the algebraic manipulation detection (AMD) codes of Cramer et al.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Verifying BQP Computations on Noisy Devices with Minimal Overhead,,Dominik Leichtle;Luka Music;Elham Kashefi;Harold Ollivier,"Laboratoire d’Informatique de Paris 6, Sorbonne Université;Laboratoire d’Informatique de Paris 6, Sorbonne Université;University of Edinburgh and CNRS LIP6 Sorbonne Universite;INRIA","With the development of delegated quantum computation, clients will want to ensure confidentiality of their data and algorithms, and the integrity of their computations. While protocols for blind and verifiable quantum computation exist, they suffer from high overheads and from over-sensitivity: When running on noisy devices, imperfections trigger the same detection mechanisms as malicious attacks, resulting in perpetually aborted computations. We introduce the first blind and verifiable protocol for delegating BQP computations to a powerful server with repetition as the only overhead. It is composably statistically secure with exponentially-low bounds and can tolerate a constant amount of global noise.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
QCRYPT,2021,poster,Measurement-device-independent quantum key distribution with directly modulated lasers,,Yuen San Lo;Robert Woodward;Mirko Pittaluga;Mariella Minder;Taofiq Paraiso;Marco Lucamarini;Zhiliang Yuan;Andrew Shields,Toshiba Europe Ltd and University College London;Toshiba Europe Ltd and University of York;Toshiba Europe Ltd and University of Leeds;Toshiba Europe Ltd and University of Cambridge;Toshiba Europe Ltd;Toshiba Europe Ltd;Toshiba Europe Ltd;Toshiba Europe Ltd,"We demonstrate a simple and compact MDI-QKD system design based on optical injection locking and gain-switching techniques, capable of directly encoding phase-modulated time-bin bits. Our results improve upon the state-of-the-art key rates by an order of magnitude.",,,,,Poster Session 1,,Source: https://qcrypt.iaqi.org/2021/sessions/poster1/,,,
