venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2021,tutorial,Convex optimization and quantum information theory,Hamza Fawzi,Hamza Fawzi,"Department of Applied Mathematics and Theoretical Physics, University of Cambridge, UK","This tutorial will cover some applications of convex optimization, and more particularly semidefinite programming, to quantum information theory. In particular, I will explain how semidefinite programming can be used to formulate certain optimization problems involving quantum entropies. I will also discuss semidefinite relaxations to polynomial optimization problems, with a focus on the separability problem.",,,https://www.youtube.com/watch?v=7nwwX-dx1L4,,,yt_match=0.94,2021-01-30,,
QIP,2021,tutorial,Architectures for fault tolerant quantum computing,Naomi Nickerson,Naomi Nickerson,PsiQuantum,"Abstract The architecture of a quantum computer has many aspects from the connectivity and arrangement of physical components, the interaction of classical and quantum information through to the design of logical gate instructions sets. Quantum error correction is central to any architecture for practical universal quantum computing to protect against the inevitable imperfections in quantum systems. This tutorial will introduce quantum error correction, what is needed for these theoretical concepts to be applied in real systems, and how this translates into principles for quantum architectural design.",,,https://www.youtube.com/watch?v=2v-J95GFSGc,,,yt_match=0.94,2021-01-30,,
QIP,2021,tutorial,Correlation Measures with the Tensorization Property,Salman Beigi,Salman Beigi,Institute for Research in Fundamental Sciences (IPM) & Phanous Research and Innovation Centre,"Abstract A correlation measure of a bipartite or multipartite source is said to satisfy the tensorization property if evaluating it on independent copies of the source, we get the same quantity as we evaluate it on a single copy. Such measures of correlation naturally appear in the study of some source coding and channel coding problems, as well as quantum nonlocality. This tutorial begins with some motivating examples that elucidate the importance of the tensorization property. Then two main measures of correlation with the tensorization property, namely the maximal correlation and the hypercontractivity ribbon are introduced. Finally some applications of these correlation measures, particularly in the study of quantum nonlocality in various settings are discussed.",,,https://www.youtube.com/watch?v=BIyKb57FyLQ,,,yt_match=0.93,2021-01-31,,
QIP,2021,tutorial,Quantum algorithms,Andrew Childs,Andrew Childs,University of Maryland,"Abstract While the power of quantum computers remains far from well understood, many quantum algorithms have been developed that provide various degrees of improvement over classical computation. This tutorial will present an overview of some of the major quantum algorithms and quantum algorithmic techniques. Topics to be covered include quantum query algorithms and their limitations, algebraic quantum algorithms, quantum walk, and quantum algorithms for Hamiltonian simulation, high-dimensional linear algebra, and optimization.",,,https://www.youtube.com/watch?v=M0e5gkf7QSQ,,,yt_match=0.90,2021-01-31,,
QIP,2021,invited,Tsirelson's problem and MIP*=RE,Thomas Vidick,Zhengfeng Ji;Anand Natarajan;Thomas Vidick;John Wright;Henry Yuen,,"Abstract Boris Tsirelson in 1993 implicitly posed ""Tsirelson's Problem"", a question about the possible equivalence between two different ways of modeling locality, and hence entanglement, in quantum mechanics. Tsirelson's Problem gained prominence through work of Fritz, Navascues et al., and Ozawa a decade ago that establishes its equivalence to the famous ""Connes' Embedding Problem"" in the theory of von Neumann algebras. Recently we gave a negative answer to Tsirelson's Problem and Connes' Embedding Problem by proving a seemingly stronger result in quantum complexity theory. This result is summarized in the equation MIP* = RE between two complexity classes. In the talk I will present and motivate Tsirelson's problem, and outline its connection to Connes' Embedding Problem. I will then explain the connection to quantum complexity theory and show how ideas developed in the past two decades in the study of classical and quantum interactive proof systems led to the characterization (which I will explain) MIP* = RE and the negative resolution of Tsirelson's Problem. Based on joint work with Ji, Natarajan, Wright and Yuen available at arXiv:2001.04383.",,,https://www.youtube.com/watch?v=cnhGLCtf8PA,,,yt_match=0.93,2021-02-01,08:30,60
QIP,2021,regular,Efficient quantum computation of chemistry through tensor hypercontraction,Dominic Berry,Joonho Lee;Dominic Berry;Craig Gidney;William Huggins;Jarrod McClean;Nathan Wiebe;Ryan Babbush,Columbia University | Macquarie University | Google | Google Research | Google | University of Washington | Google,"Abstract We show how to achieve the highest efficiency yet for simulations with arbitrary basis sets by using a representation of the Coulomb operator known as tensor hypercontraction (THC). We use THC to express the Coulomb operator in a non-orthogonal basis, which we are able to block encode by separately rotating each term with angles that are obtained via QROM. Our algorithm has the best complexity scaling for an arbitrary basis, as well as the best complexity for the specific case of FeMoCo. By optimising the surface code resources, we show that FeMoCo can be simulated using about 4 million physical qubits and 3.5 days of runtime, assuming 1 s cycle times and physical gate error rates no worse than 0.1%.",,,https://www.youtube.com/watch?v=sYtj2Nx1F04,,,yt_match=0.96,2021-02-01,09:30,30
QIP,2021,regular,New quantum Rényi divergences and their application to device-independent cryptography and quantum Shannon theory,Peter Brown,Peter Brown;Hamza Fawzi;Omar Fawzi,ENS Lyon | University of Cambridge | ENS Lyon,"Abstract In the analysis of quantum information processing tasks, the choice of distance measure between states or channels often plays a crucial role. This submission introduces new quantum Rnyi divergences for states and channels that are based on a convex optimization program involving the matrix geometric mean. These divergences have mathematical and computational properties that make them applicable to a wide variety of problems. We use these Rnyi divergences to obtain semidefinite programming lower bounds on the key rates for device-independent cryptography, and in particular we find a new bound on the minimal detection efficiency required to perform device-independent quantum key distribution without additional noisy preprocessing. Furthermore, we give several applications to quantum Shannon theory, in particular proving that adaptive strategies do not help in the strong converse regime for quantum channel discrimination and obtaining improved bounds for quantum capacities.",,,https://www.youtube.com/watch?v=2zKCCsj1CBI,,,yt_match=0.77,2021-02-01,11:00,30
QIP,2021,regular,QMA-hardness of Consistency of Local Density Matrices with Applications to Quantum Zero-Knowledge,Alex Bredariol Grilo,Anne Broadbent;Alex Bredariol Grilo,"University of Ottawa | LIP6, CNRS/Sorbonne Université","Abstract We provide several advances to the understanding of the class of Quantum Merlin-Arthur proof systems (QMA), the quantum analogue of NP. Our central contribution is proving a longstanding conjecture that the Consistency of Local Density Matrices (CLDM) problem is QMA-hard under Karp reductions. The input of CLDM consists of local reduced density matrices on sets of at most k qubits, and the problem asks if there is an n-qubit global quantum state that is locally consistent with all of the k-qubit local density matrices. The containment of CLDM in QMA and the QMA-hardness under Turing reductions were proved by Liu [APPROX-RANDOM 2006]. Liu also conjectured that CLDM is QMA-hard under Karp reductions, which is desirable for applications, and we finally prove this conjecture. We establish this result using the techniques of simulatable codes of Grilo, Slofstra, and Yuen [FOCS 2019], simplifying their proofs and tailoring them to the context of QMA. In order to develop applications of CLDM, we propose a framework that we call locally simulatable proofs for QMA: this provides QMA proofs that can be efficiently verified by probing only k qubits and, furthermore, the reduced density matrix of any k-qubit subsystem of a good witness can be computed in polynomial time, independently of the witness. Within this framework, we show several advances in zero-knowledge in the quantum setting. We show for the first time a commit-and-open computational zero-knowledge proof system for all of QMA, as a quantum analogue of a ``sigma'' protocol. We then define a Proof of Quantum Knowledge, which guarantees that a prover is effectively in possession of a quantum witness in an interactive proof, and show that our zero-knowledge proof system satisfies this definition.",,,https://www.youtube.com/watch?v=xZyQf1nNT-g,,,yt_match=0.63,2021-02-01,11:30,30
QIP,2021,regular,Constructing quantum codes from any classical code and their embedding in ground space of local Hamiltonians,Yingkai Ouyang,Ramis Movassagh;Yingkai Ouyang,"IBM Quantum Research, IBM Research, MIT-IBM A.I. Lab | University of Sheffield","Abstract We introduce a framework for constructing a quantum error correcting code from {\it any} classical error correcting code. This includes CSS codes and goes beyond the stabilizer formalism to allow quantum codes to be constructed from classical codes that are not necessarily linear or self-orthogonal. We give an algorithm that explicitly constructs quantum codes with linear distance and constant rate from classical codes with a linear distance and rate. As illustrations for small size codes, we obtain Steane's $7-$qubit code uniquely from Hamming's [7,4,3] code, and obtain other error detecting quantum codes from other explicit classical codes of length 4 and 6. Motivated by quantum LDPC codes and the use of physics to protect quantum information, we introduce a new 2-local frustration free quantum spin chain Hamiltonian whose ground space we analytically characterize completely. By mapping classical codewords to basis states of the ground space, we utilize our framework to demonstrate that the ground space contains explicit quantum codes with linear distance. This side-steps the Bravyi-Terhal no-go theorem because our work allows for more general quantum codes beyond the stabilizer and/or linear codes. This model may be called an example of {\it subspace} quantum LDPC codes with linear distance.",,,https://www.youtube.com/watch?v=aqbEp2TvRTk,,,yt_match=0.76,2021-02-01,15:00,30
QIP,2021,regular,Enhanced energy-constrained quantum communication over bosonic Gaussian channels using multi-channel strategies,Kyungjoo Noh,Kyungjoo Noh;Stefano Pirandola;Liang Jiang,AWS Center for Quantum Computing | University of York | University of Chicago,"Abstract Quantum communication is an important branch of quantum information science, promising unconditional security to classical communication and providing the building block of a future large-scale quantum network. Noise in realistic quantum communication channels imposes fundamental limits on the communication rates of various quantum communication tasks. It is therefore crucial to identify or bound the quantum capacities of a quantum channel. Here, we consider Gaussian channels that model energy loss and thermal noise errors in realistic optical and microwave communication channels and study their various quantum capacities in the energy-constrained scenario. We provide improved lower bounds to various energy-constrained quantum capacities of these fundamental channels and show that higher communication rates can be attained than previously believed. Specifically, we show that one can boost the transmission rates of quantum information and private classical information by using a correlated multi-mode thermal state instead of the single-mode thermal state of the same energy.",,,https://www.youtube.com/watch?v=X7QMC7rGxkA,,,yt_match=0.69,2021-02-01,15:30,30
