venue,year,committee_type,position,full_name,affiliation,role_title
TQC,2010,program,chair,Wim van Dam,"University of California, Santa Barbara",
TQC,2010,program,co_chair,Simone Severini,University College London,
TQC,2010,program,member,Dagmar Bruß,"Heinrich-Heine-University, Düsseldorf",
TQC,2010,program,member,Andrew Childs,University of Waterloo,
TQC,2010,program,member,Matthias Christandl,Ludwig-Maximilians-University,
TQC,2010,program,member,Nilanjana Datta,University of Cambridge,
TQC,2010,program,member,Aram Harrow,University of Bristol,
TQC,2010,program,member,Peter Høyer,University of Calgary,
TQC,2010,program,member,Rahul Jain,National University of Singapore,
TQC,2010,program,member,Elham Kashefi,University of Edinburgh,
TQC,2010,program,member,Debbie Leung,University of Waterloo,
TQC,2010,program,member,Hoi-Kwong Lo,University of Toronto,
TQC,2010,program,member,Juan Pablo Paz,University of Buenos Aires,
TQC,2010,program,member,Francesco Petruccione,University of KwaZulu-Natal,
TQC,2010,program,member,David Poulin,Université de Sherbrooke,
TQC,2010,program,member,Martin Rötteler,"NEC, Princeton",
TQC,2010,program,member,Miklos Santha,Université Paris Sud,
TQC,2010,program,member,Seiichiro Tani,"NTT, Tokyo",
TQC,2010,program,member,Jean-Pierre Tillich,"INRIA, Rocquencourt",
TQC,2010,program,member,Pawel Wocjan,University of Central Florida,
TQC,2010,organizing,chair,Viv Kendon,"University of Leeds, Physics and Astronomy",
TQC,2010,organizing,member,Dave Bacon,University of Washington,International Advisor
TQC,2010,organizing,member,Stephen Bartlett,University of Sydney,International Advisor
TQC,2010,organizing,member,Martin Aulbach,"University of Leeds, Physics and Astronomy",
TQC,2010,organizing,member,Katie Barr,"University of Leeds, Physics and Astronomy",
TQC,2010,organizing,member,Stephen Brierley,University of York,
TQC,2010,organizing,member,Katherine Brown,"University of Leeds, Physics and Astronomy",
TQC,2010,organizing,member,Barry Cooper,"University of Leeds, Maths",
TQC,2010,organizing,member,Peter Crompton,"University of Leeds, Maths",
TQC,2010,organizing,member,Vladimir V. Kisil,"University of Leeds, Maths",
TQC,2010,organizing,member,Neil Lovett,"University of Leeds, Physics and Astronomy",
TQC,2010,organizing,member,Stefano Pirandola,"University of York, Computer Science",
TQC,2010,organizing,member,Mike Stannett,University of Sheffield,
TQC,2010,organizing,member,Rob Wagner,"University of Leeds, Physics and Astronomy",
TQC,2010,steering,member,Yasuhito Kawano,"NTT, Tokyo, Japan",
TQC,2010,steering,member,Michele Mosca,"IQC, University of Waterloo, and Perimeter Institute, Waterloo, Canada",
TQC,2010,steering,member,Vlatko Vedral,"CQC, University of Oxford, UK, and CQT, National University of Singapore",
