venue,year,committee_type,position,full_name,affiliation,role_title
TQC,2014,program,member,Koenraad Audenaert,"University of London, UK",
TQC,2014,program,member,Michael Bremner,"University of Technology Sydney, Australia",
TQC,2014,program,member,Jianxin Chen,"IQC, University of Waterloo, Canada",
TQC,2014,program,member,Giulio Chiribella,"Institute for Interdisciplinary Information Sciences, Tsinghua University, China",
TQC,2014,program,co_chair,Steve Flammia,"The University of Sydney, Australia",Co-Chair
TQC,2014,program,member,Sean Hallgren,"The Pennsylvania State University, USA",
TQC,2014,program,chair,Aram Harrow,"MIT, USA",Chair
TQC,2014,program,member,Masahito Hayashi,"Nagoya University, Japan and Centre for Quantum Technologies, NUS, Singapore",
TQC,2014,program,member,Zhengfeng Ji,"IQC, University of Waterloo, Canada",
TQC,2014,program,member,Robert Koenig,"IQC, University of Waterloo, Canada",
TQC,2014,program,member,Ashley Montanaro,"University of Bristol, UK",
TQC,2014,program,member,Marco Piani,"University of Waterloo, Canada",
TQC,2014,program,member,Beth Ruskai,"Tufts University, USA",
TQC,2014,program,member,Graeme Smith,"IBM Research, Yorktown Heights, USA",
TQC,2014,program,member,Peter Turner,"University of Tokyo, Japan",
TQC,2014,program,member,Frank Verstraete,"University of Vienna, Austria",
TQC,2014,program,member,John Watrous,"University of Waterloo, Canada",
TQC,2014,program,member,Mark Wilde,"Louisiana State University, USA",
TQC,2014,program,member,Xiaodi Wu,"MIT, USA",
TQC,2014,program,member,Jon Yard,"Microsoft Research, USA",
TQC,2014,steering,member,Wim van Dam,"University of California, Santa Barbara, USA",
TQC,2014,steering,member,Yasuhito Kawano,"NTT, Japan",
TQC,2014,steering,member,Michele Mosca,"IQC and University of Waterloo, Canada",
TQC,2014,steering,member,Martin Roetteler,"NEC, USA",
TQC,2014,steering,member,Simone Severini,"University College London, UK",
TQC,2014,steering,member,Vlatko Vedral,"Oxford, UK, and Centre for Quantum Technologies, NUS, Singapore",
TQC,2014,local_organizing,member,Rahul Jain,"Centre for Quantum Technologies, NUS, Singapore",
TQC,2014,local_organizing,member,Hartmut Klauck,"Nanyang Technological University and Centre for Quantum Technologies, NUS, Singapore",
TQC,2014,local_organizing,chair,Troy Lee,"Nanyang Technological University and Centre for Quantum Technologies, NUS, Singapore",Chair
TQC,2014,local_organizing,member,Miklos Santha,"Universite Paris Diderot - Paris 7, France and Centre for Quantum Technologies, NUS, Singapore",
