venue,year,paper_type,is_proceedings_track,title,speakers,authors,affiliations,arxiv_ids,session_name,scheduled_date,scheduled_time,duration_minutes,presentation_url,video_url,youtube_id,award,notes
TQC,2024,regular,TRUE,Multi-qubit Lattice Surgery Scheduling,Allyson Silva; Xiangyi Zhang; Zak Webb; Mia Kramer; Chan-Woo Yang; Xiao Liu; Jessica Lemieux; Ka-Wai Chen; Artur Scherer; Pooya Ronagh,Allyson Silva; Xiangyi Zhang; Zak Webb; Mia Kramer; Chan-Woo Yang; Xiao Liu; Jessica Lemieux; Ka-Wai Chen; Artur Scherer; Pooya Ronagh,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.1/LIPIcs.TQC.2024.1.pdf,https://www.youtube.com/watch?v=_YUhZoqCkEQ,_YUhZoqCkEQ,,DOI: 10.4230/LIPIcs.TQC.2024.1; LIPIcs proceedings (Dagstuhl); yt_match=0.80
TQC,2024,regular,TRUE,Stochastic Error Cancellation in Analog Quantum Simulation,Yiyi Cai; Yu Tong; John Preskill,Yiyi Cai; Yu Tong; John Preskill,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.2/LIPIcs.TQC.2024.2.pdf,https://www.youtube.com/watch?v=EA1-S-TBRYs,EA1-S-TBRYs,,DOI: 10.4230/LIPIcs.TQC.2024.2; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,Efficient Optimal Control of Open Quantum Systems,Wenhao He; Tongyang Li; Xiantao Li; Zecheng Li; Chunhao Wang; Ke Wang,Wenhao He; Tongyang Li; Xiantao Li; Zecheng Li; Chunhao Wang; Ke Wang,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.3/LIPIcs.TQC.2024.3.pdf,https://www.youtube.com/watch?v=sTWAXplZQZY,sTWAXplZQZY,,DOI: 10.4230/LIPIcs.TQC.2024.3; LIPIcs proceedings (Dagstuhl); yt_match=0.92
TQC,2024,regular,TRUE,One-Wayness in Quantum Cryptography,Tomoyuki Morimae; Takashi Yamakawa,Tomoyuki Morimae; Takashi Yamakawa,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.4/LIPIcs.TQC.2024.4.pdf,https://www.youtube.com/watch?v=9k5LYBQw4uw,9k5LYBQw4uw,,DOI: 10.4230/LIPIcs.TQC.2024.4; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,Revocable Quantum Digital Signatures,Tomoyuki Morimae; Alexander Poremba; Takashi Yamakawa,Tomoyuki Morimae; Alexander Poremba; Takashi Yamakawa,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.5/LIPIcs.TQC.2024.5.pdf,https://www.youtube.com/watch?v=mCrbOhfTo7c,mCrbOhfTo7c,,DOI: 10.4230/LIPIcs.TQC.2024.5; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,The Quantum Decoding Problem,André Chailloux; Jean-Pierre Tillich,André Chailloux; Jean-Pierre Tillich,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.6/LIPIcs.TQC.2024.6.pdf,https://www.youtube.com/watch?v=mbs9NdkQ5vA,mbs9NdkQ5vA,,DOI: 10.4230/LIPIcs.TQC.2024.6; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,Eigenpath Traversal by Poisson-Distributed Phase Randomisation,Joseph Cunningham; Jérémie Roland,Joseph Cunningham; Jérémie Roland,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.7/LIPIcs.TQC.2024.7.pdf,https://www.youtube.com/watch?v=rxMdgnJfkkU,rxMdgnJfkkU,,DOI: 10.4230/LIPIcs.TQC.2024.7; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,(Quantum) Complexity of Testing Signed Graph Clusterability,Kuo-Chin Chen; Simon Apers; Min-Hsiu Hsieh,Kuo-Chin Chen; Simon Apers; Min-Hsiu Hsieh,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.8/LIPIcs.TQC.2024.8.pdf,https://www.youtube.com/watch?v=rPvxLemxUZ8,rPvxLemxUZ8,,DOI: 10.4230/LIPIcs.TQC.2024.8; LIPIcs proceedings (Dagstuhl); yt_match=1.00
TQC,2024,regular,TRUE,Quantum Non-Identical Mean Estimation: Efficient Algorithms and Fundamental Limits,Jiachen Hu; Tongyang Li; Xinzhao Wang; Yecheng Xue; Chenyi Zhang; Han Zhong,Jiachen Hu; Tongyang Li; Xinzhao Wang; Yecheng Xue; Chenyi Zhang; Han Zhong,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.9/LIPIcs.TQC.2024.9.pdf,https://www.youtube.com/watch?v=cPjkrPbeL-s,cPjkrPbeL-s,,DOI: 10.4230/LIPIcs.TQC.2024.9; LIPIcs proceedings (Dagstuhl); yt_match=0.83
TQC,2024,regular,TRUE,Guidable Local Hamiltonian Problems with Implications to Heuristic Ansatz State Preparation and the Quantum PCP Conjecture,Jordi Weggemans; Marten Folkertsma; Chris Cade,Jordi Weggemans; Marten Folkertsma; Chris Cade,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol310-tqc2024/LIPIcs.TQC.2024.10/LIPIcs.TQC.2024.10.pdf,https://www.youtube.com/watch?v=_gEvNtdvPug,_gEvNtdvPug,,DOI: 10.4230/LIPIcs.TQC.2024.10; LIPIcs proceedings (Dagstuhl); yt_match=0.71
