venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2016,poster,Quantum-Aware Software Defined Networks,,Alejandro Aguado;Vicente Martin;Diego Lopez;Momtchil Peev;Jesus Martinez-Mateo;Jose Luis Rosales;Fernando de La Iglesia;Miguel Gomez;Emilio Hugues-Salas;Andrew Lord;Reza Nejabati;Dimitra Simeonidou,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,A General Framework for Quantum Secret Sharing Protocols with Ditter Measurements,,Zoé Amblard;Francois Arnault,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Imperfect Oblivious Transfer,,Ryan Amiri;Petros Wallden;Erika Andersson,,,,,,,Poster Session (Thursday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Estimating the Cost of Generic Quantum Pre-Image Attacks on SHA-2 and SHA-3,,Matthew Amy;Olivia Di Matteo;Vlad Gheorghiu;Michele Mosca;Alex Parent;John Schanck,,,,,,,Poster Session (Thursday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Simple Implementation of Quantum Key Distribution Based on Single-Photon Bell-State Measurement,,Xuebi An;Wen-Ye Liang;Zhen-Qiang Yin;Wei Chen;Shuang Wang;Zheng-Fu Han,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Multi-user Quantum Key Distribution with Entangled Photons from a Semiconductor Chip,,Claire Autebert;Julien Trapateau;Adeline Orieux;Aristide Lemaitre;Carmen Gomez-Carbonnel;Eleni Diamanti;Isabelle Zaquine;Sara Ducci,,,,,,,Poster Session (Thursday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Differential Phase-time Quantum Key Distribution Protocol,,Davide Bacco;Jesper Bjerge Christensen;Mario A. Usuga Castaneda;Yunhong Ding;Karsten Rottwitt;Leif Katsuo Oxenløwe,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Equiangular Quantum Key Distribution in More Than 2 Dimensions,,Radhakrishnan Balu;Paul Koprowski;Kasso Okoudjou,,,,,,,Poster Session (Thursday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Quantum Key Distribution Using Multiple Gaussian Focused Beams,,Boulat Bash;Nivedita Chandrasekaran;Jeffrey Shapiro;Saikat Guha,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
QCRYPT,2016,poster,Testing of the Time-Frequency QKD-Protocol Over Different Transmission Channels,,Fabian Beutel;Jasper Rödiger;Nicolas Perlot;Oliver Benson;Ronald Freund,,,,,,,Poster Session (Tuesday),,Source: /Users/chris/Web/qcrypt.iaqi.org/2016/posters/index.html,,,
