venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2020,tutorial,Quantum Information Meet Quantum Matter,Xiao-Gang Wen,Xiao-Gang Wen,MIT,,,,,,"Saturday, Jan 04 (morning)",,source_type=claude_extraction; source=wayback,2020-01-04,09:00,
QIP,2020,tutorial,Quantum Codes,Ben Brown,Ben Brown,The University of Sydney,,,,,,"Saturday, Jan 04 (afternoon)",,source_type=claude_extraction; source=wayback,2020-01-04,14:00,
QIP,2020,tutorial,Quantum Algorithms,András Gilyén,András Gilyén,Caltech,,,,,,"Sunday, Jan 05 (morning)",,source_type=claude_extraction; source=wayback,2020-01-05,09:00,
QIP,2020,tutorial,Quantum Resource Theory,Gilad Gour,Gilad Gour,University of Calgary,,,,,,"Sunday, Jan 05 (afternoon)",,source_type=claude_extraction; source=wayback,2020-01-05,14:00,
QIP,2020,plenary_long,"Quantum-inspired classical algorithms for recommendation systems, principal component analysis, and supervised clustering",Ewin Tang,Ewin Tang,University of Washington,,,,,,Plenary,,source_type=claude_extraction; source=wayback,2020-01-06,09:00,50
QIP,2020,regular,Classical algorithms for quantum mean values,,Sergey Bravyi;David Gosset;Ramis Movassagh,,,,,,,Seaworld Grand Ballroom,,source_type=claude_extraction; source=wayback,2020-01-06,09:50,25
QIP,2020,regular,Obstacles to State Preparation and Variational Optimization from Symmetry Protection,,Eugene Tang;Sergey Bravyi;Robert Koenig;Alexander Kliesch,,,,,,,Seaworld Grand Ballroom,,source_type=claude_extraction; source=wayback,2020-01-06,10:45,25
QIP,2020,regular,Quadratic speedup for finding marked vertices by quantum walks,,Andris Ambainis;András Gilyén;Stacey Jeffery;Martins Kokainis,,,,,,,Seaworld Grand Ballroom,,source_type=claude_extraction; source=wayback,2020-01-06,11:10,25
QIP,2020,regular,Quantum algorithm for estimating volumes of convex bodies,,Shouvanik Chakrabarti;Andrew Childs;Shih-Han Hung;Tongyang Li;Chunhao Wang;Xiaodi Wu,,,,,,,Seaworld Grand Ballroom,,source_type=claude_extraction; source=wayback,2020-01-06,11:35,25
QIP,2020,regular,Efficient and Noise Resilient Measurements for Quantum Chemistry on Near-Term Quantum Computers,,William Huggins;Jarrod McClean;Nicholas Rubin;Zhang Jiang;Nathan Wiebe;K. Birgitta Whaley;Ryan Babbush,,,,,,,Seaworld Grand Ballroom 3,,source_type=claude_extraction; source=wayback,2020-01-06,14:00,25
QIP,2020,regular,Qubitization of arbitrary basis quantum chemistry leveraging sparsity and low rank factorization,,Dominic Berry;Craig Gidney;Mario Motta;Jarrod McClean;Ryan Babbush,,,,,,,Seaworld Grand Ballroom 3,,source_type=claude_extraction; source=wayback,2020-01-06,14:25,25
QIP,2020,regular,Trading T-gates for dirty qubits in state preparation and unitary synthesis,,Guang Hao Low;Vadym Kliuchnikov;Luke Schaeffer,,,,,,,Seaworld Grand Ballroom 3,,source_type=claude_extraction; source=wayback,2020-01-06,14:50,25
QIP,2020,regular,Cayley path and quantum computational supremacy: A proof of average-case #P-hardness of Random Circuit Sampling with quantified robustness,,Ramis Movassagh,,,,,,,Seaworld Grand Ballroom 3,,source_type=claude_extraction; source=wayback,2020-01-06,15:45,25
QIP,2020,regular,Sampling-based sublinear low-rank matrix arithmetic framework for dequantizing quantum machine learning,,Nai-Hui Chia;András Gilyén;Tongyang Li;Han-Hsuan Lin;Ewin Tang;Chunhao Wang,,,,,,,Seaworld Grand Ballroom 3,,source_type=claude_extraction; source=wayback,2020-01-06,16:10,25
QIP,2020,regular,Resource theory of asymmetric distinguishability,,Xin Wang;Mark Wilde,,,,,,,Seaworld Grand Ballroom 2,,source_type=claude_extraction; source=wayback,2020-01-06,14:00,25
QIP,2020,regular,An information-theoretic treatment of quantum dichotomies,,Francesco Buscemi;David Sutter;Marco Tomamichel,,,,,,,Seaworld Grand Ballroom 2 (merged talk),,source_type=claude_extraction; source=wayback; merged_with=Resource theory of asymmetric distinguishability,2020-01-06,14:00,25
QIP,2020,regular,The energy requirement of quantum processors,,Giulio Chiribella;Yuxiang Yang;Renato Renner,,,,,,,Seaworld Grand Ballroom 2,,source_type=claude_extraction; source=wayback,2020-01-06,14:25,25
QIP,2020,regular,Coherence cost for measurement and computation under conservation laws,,Hiroyasu Tajima;Naoto Shiraishi;Keiji Saito;Hiroshi Nagaoka,,,,,,,Seaworld Grand Ballroom 2 (merged talk),,source_type=claude_extraction; source=wayback; merged_with=The energy requirement of quantum processors,2020-01-06,14:25,25
QIP,2020,regular,Robustness of Quantum Memories: An Operational Resource-Theoretic Approach,,Xiao Yuan;Yunchao Liu;Qi Zhao;Bartosz Regula;Jayne Thompson;Mile Gu,,,,,,,Seaworld Grand Ballroom 2,,source_type=claude_extraction; source=wayback,2020-01-06,14:50,25
QIP,2020,regular,The Resource Theoretic Paradigm of Quantum Thermodynamics with Control,,Mischa Woods;Michal Horodecki,,,,,,,Seaworld Grand Ballroom 2,,source_type=claude_extraction; source=wayback,2020-01-06,15:45,25
QIP,2020,regular,Asymptotic reversibility of thermal operations in interacting spin systems,,Philippe Faist;Takahiro Sagawa;Kohtaro Kato;Hiroshi Nagaoka;Fernando Brandão,,,,,,,Seaworld Grand Ballroom 2,,source_type=claude_extraction; source=wayback,2020-01-06,16:10,25
