venue,year,committee_type,position,full_name,affiliation,role_title
QIP,2020,program,member,Daniel Brod,Universidade Federal Fluminense,
QIP,2020,program,member,Michael Bremner,University of Technology Sydney,
QIP,2020,program,member,Adam Bouland,UC Berkeley,
QIP,2020,program,member,Mario Berta,Imperial College London,
QIP,2020,program,member,Aleksandrs Belovs,University of Latvia,
QIP,2020,program,member,Michael Ben-Or,Hebrew University,
QIP,2020,program,member,Elizabeth Crosson,University of New Mexico,
QIP,2020,program,member,Sarah Croke,University of Glasgow,
QIP,2020,program,member,Matthew Coudron,University of Waterloo,
QIP,2020,program,member,Andrea Coladangelo,Caltech,
QIP,2020,program,member,Giulio Chiribella,The University of Hong Kong,
QIP,2020,program,chair,Andrew Childs,University of Maryland,
QIP,2020,program,member,Earl Campbell,Sheffield University,
QIP,2020,program,member,Runyao Duan,Baidu/University of Technology Sydney,
QIP,2020,program,member,Omar Fawzi,ENS de Lyon,
QIP,2020,program,member,David Gross,University of Cologne,
QIP,2020,program,member,David Gosset,University of Waterloo,
QIP,2020,program,member,Aram Harrow,Massachusetts Institute of Technology,
QIP,2020,program,member,Zhengfeng Ji,University of Technology Sydney,
QIP,2020,program,member,Robin Kothari,Microsoft,
QIP,2020,program,member,Mária Kieferová,University of Technology Sydney,
QIP,2020,program,member,Elham Kashefi,"University of Edinburgh/CNRS, Sorbonne Université",
QIP,2020,program,member,Christian Majenz,Centrum Wiskunde & Informatica,
QIP,2020,program,member,Miguel Navascués,Austrian Academy of Sciences,
QIP,2020,program,member,Anand Natarajan,Caltech,
QIP,2020,program,member,Jonathan Oppenheim,University College London,
QIP,2020,program,member,Aarthi Sundaram,University of Maryland,
QIP,2020,program,member,Florian Speelman,Centrum Wiskunde & Informatica,
QIP,2020,program,member,Ana Belén Sainz,"ICTQT, University of Gdansk",
QIP,2020,program,member,Ewin Tang,University of Washington,
QIP,2020,program,member,Mark M. Wilde,Louisiana State University,
QIP,2020,program,member,Nathan Wiebe,Pacific Northwest National Laboratory,
QIP,2020,program,member,John Watrous,University of Waterloo,
QIP,2020,program,member,Henry Yuen,University of Toronto,
QIP,2020,program,member,Penghui Yao,Nanjing University,
QIP,2020,steering,member,Andris Ambainis,University of Latvia,
QIP,2020,steering,member,Toby Cubitt,UCL,
QIP,2020,steering,member,Nilanjana Datta,University of Cambridge,
QIP,2020,steering,member,Steve Flammia,The University of Sydney,
QIP,2020,steering,member,Robert Koenig,Technical University of Munich,
QIP,2020,steering,member,Debbie Leung,"IQC, University of Waterloo",
QIP,2020,steering,member,Laura Mančinska,"QMATH, University of Copenhagen",
QIP,2020,steering,member,Graeme Smith,JILA & University of Colorado Boulder,
QIP,2020,steering,chair,Bei Zeng,HKUST & Guelph,
QIP,2020,organizing,chair,Oscar Dahlsten,SUSTech & PCL,
QIP,2020,organizing,member,Xiu-Hao Deng,PCL & SUSTech,
QIP,2020,organizing,member,Jingyun Fan,SUSTech,
QIP,2020,organizing,member,Masahito Hayashi,SUSTech & Nagoya University,
QIP,2020,organizing,co_chair,Man-Hong Yung,SUSTech (Co-Chair),
QIP,2020,organizing,chair,Shenggen Zheng,PCL,
QIP,2020,organizing,co_chair,Xiangfu Zou,PCL,
QIP,2020,organizing,member,Oscar Dahlsten,SUSTech & PCL,Rump Session Organizer
QIP,2020,organizing,member,Xiang Fu,,Rump Session Organizer
QIP,2020,organizing,chair,Miguel Navascues ,IQOQI,Rump Session Chair
QIP,2020,organizing,member,Zizhu Wang,University of Electronic Science and Technology of China,Rump Session Organizer
QIP,2020,organizing,chair,Dapeng Yu,SUSTech & PCL,General Chair
QIP,2020,organizing,co_chair,Jianwei Pan,USTC,General Co-Chair
QIP,2020,organizing,member,Song Cheng,PCL,Local Service
QIP,2020,organizing,member,Huikang Huang,South China Agricultural University,Local Service
QIP,2020,organizing,member,Qimeng Huang,SUSTech,Local Service
QIP,2020,organizing,member,Meng Luo,PCL,Local Service
QIP,2020,organizing,member,Yujie Liu,PCL,Local Service
QIP,2020,organizing,member,Xinxin Li,PCL,Local Service
QIP,2020,organizing,member,Keren Li,PCL,Local Service
QIP,2020,organizing,member,Waihin Ng,PCL,Local Service
QIP,2020,organizing,member,Minghua Pan,Guilin University of Electronic Technology,Local Service
QIP,2020,organizing,member,Haozhen Situ,South China Agricultural University,Local Service
QIP,2020,organizing,member,Chitra Shukla,PCL,Local Service
QIP,2020,organizing,member,Hong Tao,Jinan University,Local Service
QIP,2020,organizing,member,Kun Wang,SUSTech & PCL,Local Service
QIP,2020,organizing,member,Zhenggang Wu,PCL,Local Service
QIP,2020,organizing,member,Yu Wang,PCL,Local Service
QIP,2020,organizing,member,Yinsong Xu,PCL,Local Service
QIP,2020,organizing,member,Zongbao Yang,PCL,Local Service
QIP,2020,organizing,member,Mingyue Zhang,The University of Melbourne,Local Service
QIP,2020,organizing,member,Aolin Zhao,PCL,Local Service
QIP,2020,organizing,member,Ling Zhang,PCL,Local Service
QIP,2020,organizing,member,Feihao Zhang,PCL,Local Service
QIP,2020,organizing,member,Danfei Wang,PCL,Local Service
