venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2015,poster,A Quantum Key Distribution Protocol for quNits with better noise resistance,,Zoé Amblard;Francois Arnault,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Quantum control based on SU(2) decomposition of n-partite two level quantum systems,,Francisco Delgado,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Area laws and efficient descriptions of quantum many-body states,,Yimin Ge;Jens Eisert,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Efficient Implementation of Quantum Walk Based Search Algorithms,,András Gilyén,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Dealing with loss in a quantum computer,,Mercedes Gimeno-Segovia;Pete Shadbolt;Dan Browne;Terry Rudolph,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,A linear condition for a wide range of exact quantum algorithms,,Sebastian Grillo;Franklin Marquezino,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Bidirectional quantum controlled teleportation by using EPR states and entanglement swapping,,Shima Hassanpour;Monireh Houshmand,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Bounds on quantum non-locality via partial transposition,,Karol Horodecki;Glaucia Murta,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Trotterization in universal quantum simulators under faulty control,,George Knee;William Munro,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Grover's search with faults on some marked elements,,Dmitry Kravchenko;Nikolajs Nahimovs;Alexander Rivosh,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,A Generalized Quantum Inspired Evolutionary Algorithm for Signature - based Intrusion Detection Systems,,Monisha Loganathan,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Dynamical Quantum Steering Ellipsoids in Non-Markovian Spin Chains,,Ruari McCloskey;Tony Apollaro;Mauro Paternostro,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Computing many-party quantum correlations — analytical results,,Leiba Rodman;Ilya M. Spitkovsky;Arleta Szkola;Stephan Weis,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Moments of Coinless Quantum Walks on Lattices,,Raqueline A. M. Santos;Renato Portugal;Stefan Boettcher,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Degradable Channels From Products of Pure States,,Vikesh Siddhu;Robert Griffiths,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Classical Simulation of Quantum Walks on Clusters of Computers,,David Souza;Franklin Marquezino;Alexandre A. B. Lima,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Quantum Adiabatic Evaluation of Trees,,Luís Tarrataca,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,Secrecy in prepare-and-measure CHSH games with a qubit bound,,Erik Woodhead;Stefano Pironio,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
TQC,2015,poster,On the breakdown of quantum search with spatially distributed marked vertices,,Thomas Wong,,,,,,,,,Source: https://tqc.iaqi.org/2015/program.html,,,
