venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2017,program,member,Gorjan Alagic,University of Copenhagen,
QCRYPT,2017,program,member,Erika Andersson,Heriot-Watt University,
QCRYPT,2017,program,member,Rotem Arnon-Friedman,ETH Zurich,
QCRYPT,2017,program,member,Charles Ci Wen Lim,National University of Singapore,
QCRYPT,2017,program,member,Roger Colbeck,University of York,
QCRYPT,2017,program,member,Ivo Pietro Degiovanni,INRIM Turin,
QCRYPT,2017,program,member,Dirk Englund,Massachusetts Institute of Technology,
QCRYPT,2017,program,member,Ivette Fuentes,University of Vienna,
QCRYPT,2017,program,member,Stacey Jeffery,CWI Amsterdam,
QCRYPT,2017,program,member,Elham Kashefi,University of Edinburgh and UPMC CNRS,
QCRYPT,2017,program,member,Hari Krovi,"Raytheon BBN, Cambridge, Massachusetts",
QCRYPT,2017,program,member,Nicola Laurenti,University of Padova,
QCRYPT,2017,program,member,Anthony Leverrier,INRIA Paris,
QCRYPT,2017,program,member,Marco Lucamarini,Toshiba Cambridge,
QCRYPT,2017,program,member,Mohsen Razavi,University of Leeds,
QCRYPT,2017,program,member,Hiroki Takesue,NTT,
QCRYPT,2017,program,member,Marco Tomamichel,University of Technology Sydney,
QCRYPT,2017,program,member,Dominique Unruh,University of Tartu,
QCRYPT,2017,program,chair,Thomas Vidick,California Institute of Technology,
QCRYPT,2017,program,chair,Paolo Villoresi,University of Padova,
QCRYPT,2017,program,member,Christian Weedbrock,CipherQ,
QCRYPT,2017,program,member,Feihu Xu,Massachusetts Institute of Technology,
QCRYPT,2017,program,member,Hugo Zbinden,University of Geneva,
QCRYPT,2017,steering,member,Anne Broadbent,University of Ottawa,
QCRYPT,2017,steering,member,Marcos Curty,University of Vigo,
QCRYPT,2017,steering,member,Eleni Diamanti,"CNRS, Univ Pierre et Marie Curie",
QCRYPT,2017,steering,member,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2017,steering,member,Norbert Lütkenhaus,"IQC, University of Waterloo",
QCRYPT,2017,steering,member,Masahide Sasaki,NICT,
QCRYPT,2017,steering,chair,Christian Schaffner,"University of Amsterdam, CWI, QuSoft",
QCRYPT,2017,steering,member,Qiang Zhang,University of Science and Technology of China,
QCRYPT,2017,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2017,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2017,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2017,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2017,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2017,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2017,local_organizing,member,Richard Penty,UCAM,
QCRYPT,2017,local_organizing,member,Adrian Wonfor,UCAM,
QCRYPT,2017,local_organizing,member,Victoria Barrett,UCAM,
QCRYPT,2017,local_organizing,member,Georgia Mortzou,York University,
QCRYPT,2017,local_organizing,member,Klitos Andrea,York University,
QCRYPT,2017,local_organizing,member,More to follow,,
