venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2016,program,chair,Matthias Christandl,University of Copenhagen,
QCRYPT,2016,program,chair,Hugo Zbinden,University of Geneva,
QCRYPT,2016,program,member,Antonio Acin,ICFO Barcelona,
QCRYPT,2016,program,member,Romain Alléaume,Télécom ParisTech,
QCRYPT,2016,program,member,Ulrik Lund Andersen,Technical University of Denmark,
QCRYPT,2016,program,member,Nicolas Brunner,University of Geneva,
QCRYPT,2016,program,member,Claude Crepeau,McGill University,
QCRYPT,2016,program,member,Frederic Dupuis,Masaryk University,
QCRYPT,2016,program,member,Mikio Fujiwara,NICT of Japan,
QCRYPT,2016,program,member,Warren Grice,Oak Ridge National Laboratory,
QCRYPT,2016,program,member,Iordanis Kerenidis,University Paris Diderot,
QCRYPT,2016,program,member,Masato Koashi,University of Tokyo,
QCRYPT,2016,program,member,Antia Lamas-Linares,University of Texas / National University of Singapore,
QCRYPT,2016,program,member,Carl Miller,University of Michigan,
QCRYPT,2016,program,member,Michele Mosca,University of Waterloo,
QCRYPT,2016,program,member,Maris Ozols,University of Cambridge,
QCRYPT,2016,program,member,Louis Salvail,University of Montreal,
QCRYPT,2016,program,member,Mark Thompson,University of Bristol,
QCRYPT,2016,program,member,Giuseppe Vallone,University of Padova,
QCRYPT,2016,program,member,Feihu Xu,MIT,
QCRYPT,2016,program,member,Qiang Zhang,University of Science and Technology of China,
QCRYPT,2016,steering,chair,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2016,steering,member,Eleni Diamanti,"CNRS, Telecom ParisTech",
QCRYPT,2016,steering,member,Norbert Lütkenhaus,"IQC, University of Waterloo",
QCRYPT,2016,steering,member,Masahide Sasaki,NICT,
QCRYPT,2016,steering,member,Christian Schaffner,University of Amsterdam,
QCRYPT,2016,steering,member,Wolfgang Tittel,University of Calgary,
QCRYPT,2016,steering,member,Stephanie Wehner,"QuTech, TU Delft",
QCRYPT,2016,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2016,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2016,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2016,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2016,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2016,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2016,steering,member,Andrew Childs,University of Maryland,
QCRYPT,2016,steering,member,Jake Taylor,NIST / University of Maryland,
QCRYPT,2016,local_organizing,chair,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2016,local_organizing,member,Andrew Childs,University of Maryland,
QCRYPT,2016,local_organizing,member,Jake Taylor,NIST / University of Maryland,
