venue,year,committee_type,position,full_name,affiliation,role_title
TQC,2024,steering,member,Andris Ambainis,University of Latvia,
TQC,2024,steering,member,Eric Chitambar,University of Illinois at Urbana-Champaign,
TQC,2024,steering,member,Kai-Min Chung,Academia Sinica,
TQC,2024,steering,member,Steve Flammia,AWS Center for Quantum Computing,
TQC,2024,steering,co_chair,François Le Gall,Nagoya University,Co-Chair
TQC,2024,steering,chair,Min-Hsiu Hsieh,Hon Hai (Foxconn),Chair
TQC,2024,steering,member,Kae Nemoto,OIST,
TQC,2024,steering,member,Lídia del Rio,Squids and University of Zurich,
TQC,2024,program,chair,Frédéric Mangiez,CNRS,Chair
TQC,2024,program,co_chair,Alex Bredariol Grilo,CNRS,Co-Chair
TQC,2024,program,member,Srinivasan Arunachalam,IBM,
TQC,2024,program,member,Alexander Belovs,University of Latvia,
TQC,2024,program,member,Mario Berta,RWTH Aachen University,
TQC,2024,program,member,Xavier Bonnetain,Inria Nancy,
TQC,2024,program,member,Jop Briet,CWI,
TQC,2024,program,member,Marco Cerezo,LANL,
TQC,2024,program,member,Nai-Hui Chia,Rice University,
TQC,2024,program,member,Nicolas Delfosse,IonQ,
TQC,2024,program,member,Ernesto Galvão,INL,
TQC,2024,program,member,Uma Girish,Princeton,
TQC,2024,program,member,Tom Gur,University of Cambridge,
TQC,2024,program,member,Yassine Hamoudi,CNRS Bordeaux,
TQC,2024,program,member,Dominik Hangleiter,QuICS (UMD & NIST),
TQC,2024,program,member,Chris Heunen,University of Edinburgh,
TQC,2024,program,member,Christoph Hirche,TU Munich and CQT NUS,
TQC,2024,program,member,Nick Hunter-Jones,UT Austin,
TQC,2024,program,member,John Kallaugher,Sandia National Laboratories,
TQC,2024,program,member,Shelby Kimmel,Middlebury College,
TQC,2024,program,member,Robert Koenig,TU Munich,
TQC,2024,program,member,Felix Leditzky,UIUC,
TQC,2024,program,member,Tongyang Li,Peking University,
TQC,2024,program,member,Jiahui Liu,MIT,
TQC,2024,program,member,Alex May,Perimeter Institute and University of Waterloo,
TQC,2024,program,member,Mio Murao,University of Tokyo,
TQC,2024,program,member,Ion Nechita,"CNRS, Toulouse",
TQC,2024,program,member,Harumichi Nishimura,Nagoya University,
TQC,2024,program,member,Tom O’Brien,Google Quantum AI,
TQC,2024,program,member,Subhasree Patro,Utrecht University and QuSoft,
TQC,2024,program,member,Supartha Podder,Stony Brook University,
TQC,2024,program,member,Alexander Poremba,MIT,
TQC,2024,program,member,Luowen Qian,Boston University,
TQC,2024,program,member,Patrick Rebentrost,CQT,
TQC,2024,program,member,Norbert Schuch,University of Vienna,
TQC,2024,program,member,Thomas Schuster,Caltech,
TQC,2024,program,member,Makrand Sinha,UIUC,
TQC,2024,program,member,Fang Song,Portland State University,
TQC,2024,program,member,David Sutter,IBM Zurich,
TQC,2024,program,member,Mario Szegedy,Rutgers University,
TQC,2024,program,member,Marcelo Terra Cunha,Unicamp,
TQC,2024,program,member,Dave Touchette,Sherbrooke University,
TQC,2024,program,member,Dominic Verdon,University of Bristol,
TQC,2024,program,member,Nathan Wiebe,University of Toronto,
TQC,2024,program,member,Dominic Williamson,University of Sydney,
TQC,2024,program,member,Penghui Yao,Nanjing University,
TQC,2024,program,member,Ted Yoder,IBM,
TQC,2024,local_organizing,member,David Elkouss Coronas,OIST,
TQC,2024,local_organizing,member,Kae Nemoto,OIST,
TQC,2024,local_organizing,member,Slawomir Rosiek,OIST,
TQC,2024,local_organizing,member,Yukari Yoseda,OIST,
TQC,2024,organizing,member,Lídia del Rio,Squids and University of Zurich,
TQC,2024,organizing,member,Nuriya Nurgalieva,Squids and University of Zurich,
