venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2018,program,member,Antonio Acin,ICFO,
QCRYPT,2018,program,member,Virginia d’Auria,Institut de Physique de Nice (INPhYNI,
QCRYPT,2018,program,member,Kai-Min Chung,Academia Sinica,
QCRYPT,2018,program,chair,Roger Colbeck,University of York,
QCRYPT,2018,program,member,Eleni Diamanti,"CNRS, Sorbonne Université",
QCRYPT,2018,program,member,Frederic Dupuis,"CNRS, LORIA, Université de Lorraine",
QCRYPT,2018,program,member,Andrew Forbes,University of the Witwatersrand,
QCRYPT,2018,program,member,Mikio Fujiwara,National Institute of Information and Communications Technology,
QCRYPT,2018,program,member,Tobias Gehring,Technical University of Denmark,
QCRYPT,2018,program,member,Stacey Jeffery,CWI and QuSoft,
QCRYPT,2018,program,member,Thomas Jennewein,University of Waterloo,
QCRYPT,2018,program,member,Marc Kaplan,VeriQloud,
QCRYPT,2018,program,member,Iordanis Kerenidis,"CNRS, Paris Centre for Quantum Computing",
QCRYPT,2018,program,member,Prem Kumar,Northwestern University,
QCRYPT,2018,program,member,Anthony Leverrier,Inria Paris,
QCRYPT,2018,program,member,Xiongfeng Ma,TsingHua University,
QCRYPT,2018,program,member,Serge Massar,Université libre de Bruxelles,
QCRYPT,2018,program,co-chair,Christoph Marquardt,Max Planck Institute for the Science of Light,
QCRYPT,2018,program,member,Carl Miller,NIST / University of Maryland,
QCRYPT,2018,program,member,Christoph Pacher,Austrian Institute of Technology,
QCRYPT,2018,program,member,Christopher Portmann,ETH Zurich,
QCRYPT,2018,program,member,Or Sattath,Ben-Gurion University,
QCRYPT,2018,program,member,Florian Speelman,"QMATH, University of Copenhagen",
QCRYPT,2018,program,member,Masahiro Takeoka,"National Institute of Information and Communications Technology, Japan",
QCRYPT,2018,program,member,Harald Weinfurter,LMU Munch,
QCRYPT,2018,program,member,Feihu Xu,University of Science and Technology of China,
QCRYPT,2018,steering,co-chair,Anne Broadbent,University of Ottawa,
QCRYPT,2018,steering,member,Marcos Curty,University of Vigo,
QCRYPT,2018,steering,member,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2018,steering,member,Norbert Lütkenhaus,"IQC, University of Waterloo",
QCRYPT,2018,steering,member,Christian Schaffner,"University of Amsterdam, CWI, QuSoft",
QCRYPT,2018,steering,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2018,steering,member,Hugo Zbinden,"U Geneva, Switzerland",
QCRYPT,2018,steering,chair,Qiang Zhang,University of Science and Technology of China,
QCRYPT,2018,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2018,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2018,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2018,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2018,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2018,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2018,steering,member,Michele Mosca,"IQC, University of Waterloo",
QCRYPT,2018,steering,member,Jian-Wei Pan,University of Science and Technology of China,
QCRYPT,2018,local_organizing,member,Xiongfeng Ma,Tsinghua University,
QCRYPT,2018,local_organizing,member,Feihu Xu,University of Science and Technology of China,
QCRYPT,2018,local_organizing,member,Jun Zhang,University of Science and Technology of China,
QCRYPT,2018,local_organizing,chair,Qiang Zhang,University of Science and Technology of China,
