venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2024,local_organizing,chair,Marcos Curty,University of Vigo,
QCRYPT,2024,local_organizing,member,Natalia Costas,CESGA Galicia Supercomputing Center,
QCRYPT,2024,local_organizing,member,Antía Lamas-Linares,University of Vigo/Amazon Web Services,
QCRYPT,2024,local_organizing,member,Vadim Makarov,University of Vigo,
QCRYPT,2024,local_organizing,member,Davide Rusca,University of Vigo,
QCRYPT,2024,local_organizing,member,Hugo Zbinden,University of Vigo,
QCRYPT,2024,local_organizing,member,Lorena G. Curra,,
QCRYPT,2024,steering,chair,Li Qian,University of Toronto,
QCRYPT,2024,steering,co-chair,Kai-Min Chung,"IIS, Academia Sinica",
QCRYPT,2024,steering,member,Gorjan Alagic,University of Maryland,
QCRYPT,2024,steering,member,Rotem Arnon-Friedman,Weizmann Institute of Science,
QCRYPT,2024,steering,member,Charles Lim,JPMorgan Chase & Co,
QCRYPT,2024,steering,member,Marco Lucamarini,University of York,
QCRYPT,2024,steering,member,Davide Rusca,University of Vigo,
QCRYPT,2024,steering,member,Feihu Xu,University of Science and Technology of China,
QCRYPT,2024,program,chair,Anne Broadbent,University of Ottawa,
QCRYPT,2024,program,co-chair,Bing Qi,New York University Shanghai,
QCRYPT,2024,program,member,Davide Bacco,"University of Florence,IT",
QCRYPT,2024,program,member,Naresh Goud Boddu,"NTT Research, CIS Lab USA",
QCRYPT,2024,program,member,Peter Brown,"Télécom Paris, FR",
QCRYPT,2024,program,member,Andrea Coladangelo,"University of Washington, USA",
QCRYPT,2024,program,member,Eleni Diamanti,"CNRS and Sorbonne University, FR",
QCRYPT,2024,program,member,Mina Doosti,"University of Edinburgh, UK",
QCRYPT,2024,program,member,Ehsan Ebrahimi,"University of Luxembourg, LU",
QCRYPT,2024,program,member,Omar Fawzi,"Inria, ENS Lyon, FR",
QCRYPT,2024,program,member,Ronald Hanson,"Delft University of Technology, NL",
QCRYPT,2024,program,member,Minki Hhan,"KIAS, KR",
QCRYPT,2024,program,member,Thomas Jennewein,"University of Waterloo, CA",
QCRYPT,2024,program,member,Dakshita Khurana,"University of Illinois Urbana-Champaign, USA",
QCRYPT,2024,program,member,Philippe Lamontagne,"National Research Council Canada and Université de Montréal, CA",
QCRYPT,2024,program,member,Sheng-Kai Liao,"University of Science and Technology of China, CN",
QCRYPT,2024,program,member,Joseph Lukens,"Arizona State University, USA",
QCRYPT,2024,program,member,Xiongfeng Ma,"Tsinghua University, CN",
QCRYPT,2024,program,member,Gláucia Murta,"HHU Düsseldorf, DE",
QCRYPT,2024,program,member,Alexander Poremba,"MIT, USA",
QCRYPT,2024,program,member,Mohsen Razavi,"University of Leeds, UK",
QCRYPT,2024,program,member,Omri Shmueli,"Tel Aviv University, IL",
QCRYPT,2024,program,member,Fang Song,"Portland State University, USA",
QCRYPT,2024,program,member,Ivan Supic,"Sorbonne University, FR",
QCRYPT,2024,program,member,Gelo Noel Tabia,"Hon Hai Research Institute, TW",
QCRYPT,2024,program,member,Ernest Tan,"University of Waterloo, CA",
QCRYPT,2024,program,member,Nino Walenta,"Fraunhofer HHI, DE",
QCRYPT,2024,program,member,Ramona Wolf,"University of Siegen, DE",
QCRYPT,2024,program,member,Takashi Yamakawa,"NTT Social Informatics Laboratories, JP",
QCRYPT,2024,program,member,Henry Yuen,"Columbia, USA",
QCRYPT,2024,program,member,Hugo Zbinden,"University of Geneva, CH",
QCRYPT,2024,program,member,Zheshen Zhang,"University of Michigan, USA",
QCRYPT,2024,program,member,Jiayu Zhang,"Zhongguancun Laboratory, CN",
QCRYPT,2024,program,member,Lai Zhou,"Beijing Academy of Quantum Information Sciences, CN",
