venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2014,program,member,Romain Alléaume,Telecom ParisTech,
QCRYPT,2014,program,member,Michael Ben-Or,Hebrew University,
QCRYPT,2014,program,member,Anne Broadbent,University of Ottawa,
QCRYPT,2014,program,member,Marcos Curty,University of Vigo,
QCRYPT,2014,program,member,Frédéric Dupuis,Aarhus University,
QCRYPT,2014,program,chair,Norbert Lütkenhaus,IQC Waterloo,
QCRYPT,2014,program,member,Stefano Pironio,Université Libre de Bruxelles,
QCRYPT,2014,program,member,Li Qian,University of Toronto,
QCRYPT,2014,program,member,Renato Renner,ETH Zurich,
QCRYPT,2014,program,member,Christian Schaffner,University of Amsterdam,
QCRYPT,2014,program,member,Kiyoshi Tamaki,NTT,
QCRYPT,2014,program,member,Marco Tomamichel,CQT Singapore,
QCRYPT,2014,program,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2014,program,member,Thomas Vidick,Caltech,
QCRYPT,2014,program,co-chair,Gregor Weihs,University of Innsbruck,
QCRYPT,2014,program,member,Stefan Wolf,USI Lugano,
QCRYPT,2014,program,member,Hugo Zbinden,University of Geneva,
QCRYPT,2014,steering,member,Matthias Christandl,ETH Zürich,
QCRYPT,2014,steering,member,Roger Colbeck,University of York,
QCRYPT,2014,steering,member,Michele Mosca,IQC Waterloo,
QCRYPT,2014,steering,member,Louis Salvail,Université de Montréal,
QCRYPT,2014,steering,member,Masahide Sasaki,NICT Tokyo,
QCRYPT,2014,steering,member,Wolfgang Tittel,University of Calgary,
QCRYPT,2014,steering,member,Stephanie Wehner,CQT Singapore,
QCRYPT,2014,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2014,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2014,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2014,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2014,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2014,steering,member,Richard Hughes,Los Alamos,
QCRYPT,2014,local_organizing,member,Romain Alléaume,Telecom ParisTech,
QCRYPT,2014,local_organizing,member,Philippe Grangier,Institut d’Optique,
QCRYPT,2014,local_organizing,member,Frédéric Grosshans,Laboratoire Aimé Cotton,
QCRYPT,2014,local_organizing,member,Marc Kaplan,Telecom ParisTech,
QCRYPT,2014,local_organizing,member,Iordanis Kerenidis,LIAFA,
QCRYPT,2014,local_organizing,member,Anthony Leverrier,Inria,
QCRYPT,2014,local_organizing,member,Damian Markham,Telecom ParisTech,
QCRYPT,2014,local_organizing,member,Isabelle Zaquine,Telecom ParisTech,
