venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2021,local_organizing,chair,Serge Fehr,"CWI Cryptology group, Leiden University",
QCRYPT,2021,local_organizing,chair,Christian Schaffner,"University of Amsterdam ILLC, QuSoft",
QCRYPT,2021,local_organizing,member,Caitlin Boonstra,"ILLC, University of Amsterdam",
QCRYPT,2021,local_organizing,member,Jelle Don,CWI Cryptology Group,
QCRYPT,2021,local_organizing,member,Yfke Dulek,"CWI, QuSoft",
QCRYPT,2021,local_organizing,member,Alex Grilo,CNRS/Sorbonne Université,
QCRYPT,2021,local_organizing,member,Melanie Haije,University of Amsterdam,
QCRYPT,2021,local_organizing,member,Esteban Landerreche,design,
QCRYPT,2021,local_organizing,member,Mehrdad Tahmasbi,"CWI, QuSoft",
QCRYPT,2021,local_organizing,member,Peter van Ormondt,"ILLC, University of Amsterdam",
QCRYPT,2021,local_organizing,member,Wessel van Woerden,CWI Cryptology Group,
QCRYPT,2021,steering,co-chair,Gorjan Alagic,University of Maryland,
QCRYPT,2021,steering,member,Serge Fehr,"CWI Cryptology group, Leiden University",
QCRYPT,2021,steering,member,Stacey Jeffery,CWI,
QCRYPT,2021,steering,member,Marco Lucamarini,University of York,
QCRYPT,2021,steering,chair,Christoph Marquardt,Max Planck Institute for the Science of Light,
QCRYPT,2021,steering,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2021,steering,member,Feihu Xu,University of Science and Technology of China,
QCRYPT,2021,steering,member,Hugo Zbinden,University of Geneva,
QCRYPT,2021,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2021,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2021,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2021,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2021,steering,member,Nicolas Gisin,University of Geneva,
QCRYPT,2021,steering,member,Richard Hughes,Los Alamos National Lab,
QCRYPT,2021,steering,member,Michele Mosca,"IQC, University of Waterloo",
QCRYPT,2021,steering,member,Jian-Wei Pan,University of Science and Technology of China,
QCRYPT,2021,program,chair,Tobias Gehring,"DTU Physics, Technical University of Denmark",
QCRYPT,2021,program,chair,Carl Miller,"QuICS, University of Maryland, NIST",
QCRYPT,2021,program,member,Antonio Acín,Institute of Photonic Sciences,
QCRYPT,2021,program,member,Romain Alléaume,Telecom Paris,
QCRYPT,2021,program,member,Erika Andersson,Heriot-Watt University,
QCRYPT,2021,program,member,Rotem Arnon-Friedman,Weizmann Institute of Science,
QCRYPT,2021,program,member,Davide Bacco,Technical University of Denmark,
QCRYPT,2021,program,member,Zvika Brakerski,Weizmann Institute of Science,
QCRYPT,2021,program,member,Anne Broadbent,University of Ottawa,
QCRYPT,2021,program,member,Yuan Cao,University of Science and Technology of China,
QCRYPT,2021,program,member,Andrea Coladangelo,"University of California, Berkeley",
QCRYPT,2021,program,member,Roger Colbeck,University of York,
QCRYPT,2021,program,member,Virginia D’Auria,Institut de Physique de Nice,
QCRYPT,2021,program,member,Ivo Degiovanni,INRIM,
QCRYPT,2021,program,member,Yfke Dulek,QuSoft and CWI Amsterdam,
QCRYPT,2021,program,member,Verónica Fernández Mármol,Spanish National Research Council,
QCRYPT,2021,program,member,Daniel J. Gauthier,Ohio State University,
QCRYPT,2021,program,member,Sean Hallgren,Penn State University,
QCRYPT,2021,program,member,Andreas Hülsing,Eindhoven University of Technology,
QCRYPT,2021,program,member,Thomas Jennewein,University of Waterloo,
QCRYPT,2021,program,member,George Kanellos,University of Bristol,
QCRYPT,2021,program,member,Elham Kashefi,University of Edinburgh and LIP6 Sorbonne Universite,
QCRYPT,2021,program,member,Rupesh Kumar,University of York,
QCRYPT,2021,program,member,Yury Kurochkin,Russian Quantum Center,
QCRYPT,2021,program,member,Charles Ci-Wen Lim,National University of Singapore,
QCRYPT,2021,program,member,Xiongfeng Ma,Tsinghua University,
QCRYPT,2021,program,member,Andreas Poppe,Austrian Institute of Technology,
QCRYPT,2021,program,member,Jamie Sikora,Virginia Tech,
QCRYPT,2021,program,member,Florian Speelman,QuSoft and University of Amsterdam,
QCRYPT,2021,program,member,Marco Tomamichel,National University of Singapore,
QCRYPT,2021,program,member,Vladyslav Usenko,"Palacky University, Olomouc",
QCRYPT,2021,program,member,Giuseppe Vallone,University of Padova,
QCRYPT,2021,program,member,Paolo Villoresi,University of Padova,
QCRYPT,2021,program,member,Nino Walenta,Heinrich Hertz Institute,
QCRYPT,2021,program,member,Zhiliang Yuan,Beijing Academy of Quantum Information Sciences,
QCRYPT,2021,program,member,Yanbao Zhang,NTT Basic Research Lab,
