venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2015,program,member,Stefanie Barz,University of Oxford,
QCRYPT,2015,program,member,Anne Broadbent,University of Ottawa,
QCRYPT,2015,program,member,Felix Bussieres,Université de Genève,
QCRYPT,2015,program,member,Serge Fehr,CWI Amsterdam,
QCRYPT,2015,program,member,Ilja Gerhard,MPI Stuttgart,
QCRYPT,2015,program,chair,Richard Hughes,Unaffiliated,
QCRYPT,2015,program,member,Ping-Koy Lam,Australian National University,
QCRYPT,2015,program,member,Anthony Leverrier,INRIA,
QCRYPT,2015,program,member,Marco Lucamarini,Toshiba Research Cambridge,
QCRYPT,2015,program,member,Christoph Marquardt,MPI Erlangen,
QCRYPT,2015,program,member,Serge Massar,University Libre de Bruxelles,
QCRYPT,2015,program,member,Daniel Nagaj,Slovak Academy of Sciences,
QCRYPT,2015,program,member,John Rarity,University of Bristol,
QCRYPT,2015,program,chair,Renato Renner,ETH Zurich,
QCRYPT,2015,program,member,Graeme Smith,IBM Research,
QCRYPT,2015,program,member,Hiroki Takesue,NTT Basic Research Laboratories,
QCRYPT,2015,program,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2015,program,member,Dominique Unruh,University of Tartu,
QCRYPT,2015,program,member,Rupert Ursin,University of Vienna,
QCRYPT,2015,program,member,Stefan Wolf,Universita della Svizzera italiana,
QCRYPT,2015,steering,member,Matthias Christandl,Univeresity of Copenhagen,
QCRYPT,2015,steering,member,Roger Colbeck,University of York,
QCRYPT,2015,steering,member,Eleni Diamanti,"CNRS, Telecom ParisTech",
QCRYPT,2015,steering,member,Norbert Lütkenhaus,"IQC, University of Waterloo",
QCRYPT,2015,steering,chair,Masahide Sasaki,NICT,
QCRYPT,2015,steering,member,Christian Schaffner,University of Amsterdam,
QCRYPT,2015,steering,member,Wolfgang Tittel,University of Calgary,
QCRYPT,2015,steering,member,Stephanie Wehner,"QuTech, TU Delft",
QCRYPT,2015,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2015,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2015,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2015,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2015,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2015,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2015,local_organizing,member,Mikio Fujiwara,NICT,
QCRYPT,2015,local_organizing,member,Kazuhiro Hayasaka,NICT,
QCRYPT,2015,local_organizing,member,Masahiko Matsuo,NICT,
QCRYPT,2015,local_organizing,chair,Kae Nemoto,NII,
QCRYPT,2015,local_organizing,chair,Masahiro Takeoka,NICT,
QCRYPT,2015,local_organizing,member,Kentaro Wakui,NICT,
QCRYPT,2015,local_organizing,member,Rie Yamagata,NICT,
