venue,year,committee_type,position,full_name,affiliation,role_title
QIP,2016,program,member,Scott Aaronson,MIT,
QIP,2016,program,member,Dorit Aharonov,Hebrew U,
QIP,2016,program,member,Dominic Berry,Macquarie U,
QIP,2016,program,member,Harry Buhrman,CWI & U Amsterdam,
QIP,2016,program,member,Matthias Christandl,Copenhagen,
QIP,2016,program,chair,Richard Cleve,U Waterloo,Program Chair
QIP,2016,program,member,Wim van Dam,UCSB,
QIP,2016,program,member,Nilanjana Datta,Cambridge,
QIP,2016,program,member,Omar Fawzi,Lyon,
QIP,2016,program,member,Matthew Hastings,Microsoft,
QIP,2016,program,member,Rahul Jain,NUS,
QIP,2016,program,member,Stephen Jordan,NIST,
QIP,2016,program,member,Iordanis Kerenidis,Paris,
QIP,2016,program,member,François Le Gall,Tokyo,
QIP,2016,program,member,Troy Lee,Nanyang U,
QIP,2016,program,member,Laura Mančinska,CQT,
QIP,2016,program,member,Carl Miller,Michigan,
QIP,2016,program,member,Daniel Nagaj,Vienna,
QIP,2016,program,member,Jonathan Oppenheim,UCL,
QIP,2016,program,member,David Perez-Garcia,Madrid,
QIP,2016,program,member,Renato Renner,ETH Zurich,
QIP,2016,program,member,Louis Salvail,Montreal,
QIP,2016,program,member,Barbara Terhal,RWTH Aachen,
QIP,2016,program,member,Thomas Vidick,Caltech,
QIP,2016,program,member,John Watrous,Waterloo,
QIP,2016,program,member,Michael Wolf,Munich,
QIP,2016,program,member,Beni Yoshida,Caltech,
QIP,2016,steering,member,Fernando Brandão,Microsoft Research,
QIP,2016,steering,member,Andrew Childs,Maryland,
QIP,2016,steering,member,Andrew Doherty,USYD,
QIP,2016,steering,member,Runyao Duan,UTS,
QIP,2016,steering,member,David Poulin,U Sherbrooke,
QIP,2016,steering,member,Ben Reichardt,USC,
QIP,2016,steering,chair,Barry Sanders,U Calgary,
QIP,2016,steering,member,Krysta Svore,Microsoft Research,
QIP,2016,steering,member,Stephanie Wehner,TU Delft,
QIP,2016,local_organizing,chair,Barry Sanders,U Calgary,
QIP,2016,local_organizing,member,David Feder,U Calgary,
QIP,2016,local_organizing,member,Gilad Gour,U Calgary,
QIP,2016,local_organizing,member,Peter Høyer,U Calgary,
QIP,2016,local_organizing,member,Jibran Rashid,Habib U,
QIP,2016,local_organizing,member,Lucia Wang,U Calgary,
QIP,2016,local_organizing,member,Welcome: Parisa Zarkeshian,,
QIP,2016,local_organizing,member,Tutorial Planning: Mark Girard,,
QIP,2016,local_organizing,member,Tutorial Accommodation: Alireza Poostindouz,,
QIP,2016,local_organizing,member,Bus: Hoan Dang,,
QIP,2016,local_organizing,member,Registration: Varun Narasimhachar,,
QIP,2016,local_organizing,member,Finance: Navid Yousefabadi,,
QIP,2016,local_organizing,member,Departures: Yadong Wu,,
QIP,2016,local_organizing,member,Rump Session: Ehsan Zahedinejad,,
QIP,2016,local_organizing,member,Tweeter: Abdullah Khalid,,
QIP,2016,local_organizing,member,Posters/Exhibition: Borzu Toloui,,
QIP,2016,local_organizing,member,Excursions: Weiwei Zhang,,
