venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2013,program,member,Harry Buhrman,CWI Amsterdam and Amsterdam University,
QCRYPT,2013,program,member,Matthias Christandl,ETH Zürich,
QCRYPT,2013,program,chair,Ivan Damgård,Aarhus University,
QCRYPT,2013,program,member,Frédéric Dupuis,Aarhus University,
QCRYPT,2013,program,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2013,program,member,Nicolas Gisin,Université de Genève,
QCRYPT,2013,program,member,Norbert Lütkenhaus,IQC Waterloo,
QCRYPT,2013,program,member,Renato Renner,ETH Zürich,
QCRYPT,2013,program,member,Louis Salvail,Université de Montréal,
QCRYPT,2013,program,member,Christian Schaffner,University of Amsterdam,
QCRYPT,2013,program,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2013,program,member,Gregor Weihs,University of Innsbruck,
QCRYPT,2013,program,member,Stefan Wolf,USI Lugano,
QCRYPT,2013,steering,member,Matthias Christandl,ETH Zürich,
QCRYPT,2013,steering,member,Roger Colbeck,ETH Zürich,
QCRYPT,2013,steering,chair,Michele Mosca,IQC Waterloo,
QCRYPT,2013,steering,member,Louis Salvail,Université de Montréal,
QCRYPT,2013,steering,member,Masahide Sasaki,NICT Tokyo,
QCRYPT,2013,steering,member,Wolfgang Tittel,University of Calgary,
QCRYPT,2013,steering,member,Stephanie Wehner,CQT Singapore,
QCRYPT,2013,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2013,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2013,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2013,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2013,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2013,steering,member,Richard Hughes,Los Alamos,
QCRYPT,2013,local_organizing,member,Elena Anisimova,,
QCRYPT,2013,local_organizing,member,Jean-Philippe Bourgoin,,
QCRYPT,2013,local_organizing,member,Tobi Day-Hamilton,,
QCRYPT,2013,local_organizing,member,Kathryn Fedy,,
QCRYPT,2013,local_organizing,member,Stacey Jeffery,,
QCRYPT,2013,local_organizing,member,Thomas Jennewein,,
QCRYPT,2013,local_organizing,member,Sarah Kaiser,,
QCRYPT,2013,local_organizing,member,Peter Kovacs,,
QCRYPT,2013,local_organizing,member,Martin Laforest,,
QCRYPT,2013,local_organizing,member,Norbert Lütkenhaus,,
QCRYPT,2013,local_organizing,member,Xian Ma,,
QCRYPT,2013,local_organizing,member,Vadim Makarov,,
QCRYPT,2013,local_organizing,member,Facebook,,
QCRYPT,2013,local_organizing,member,Ryan Robinson-Hatton,,
QCRYPT,2013,local_organizing,member,Shihan Sajeed,,
QCRYPT,2013,local_organizing,member,Kimberly Simmermaker,,
QCRYPT,2013,local_organizing,member,William Stacey,,
QCRYPT,2013,local_organizing,member,Jodi Szimanski,,
