venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2022,local_organizing,chair,Bo-Yin Yang,"IIS, Academia Sinica",
QCRYPT,2022,local_organizing,chair,Kai-Min Chung,"IIS, Academia Sinica",
QCRYPT,2022,local_organizing,chair,Yeong-Cherng Liang,"Department of Physics, National Cheng Kung University",
QCRYPT,2022,local_organizing,member,Chell Chien,"IIS, Academia Sinica",
QCRYPT,2022,local_organizing,member,Jim Kao,"IIS, Academia Sinica",
QCRYPT,2022,local_organizing,member,Hsin Man Lin,"IIS, Academia Sinica",
QCRYPT,2022,local_organizing,member,Seiya Pan,"IIS, Academia Sinica",
QCRYPT,2022,steering,chair,Gorjan Alagic,University of Maryland,
QCRYPT,2022,steering,member,Kai-Min Chung,"IIS, Academia Sinica",
QCRYPT,2022,steering,member,Serge Fehr,"CWI Cryptology group, Leiden University",
QCRYPT,2022,steering,member,Stacey Jeffery,CWI,
QCRYPT,2022,steering,member,Qian Li,University of Toronto,
QCRYPT,2022,steering,member,Marco Lucamarini,University of York,
QCRYPT,2022,steering,member,Christoph Marquardt,Max Planck Institute for the Science of Light,
QCRYPT,2022,steering,member,Feihu Xu,University of Science and Technology of China,
QCRYPT,2022,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2022,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2022,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2022,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2022,steering,member,Nicolas Gisin,University of Geneva,
QCRYPT,2022,steering,member,Richard Hughes,Los Alamos National Lab,
QCRYPT,2022,steering,member,Michele Mosca,"IQC, University of Waterloo",
QCRYPT,2022,steering,member,Jian-Wei Pan,University of Science and Technology of China,
QCRYPT,2022,program,chair,Lim Ci Wen (Charles),National University of Singapore/JPMorgan,
QCRYPT,2022,program,co-chair,Anthony Martin,Université Côte d'Azur,
QCRYPT,2022,program,member,Anthony Leverrier,"Inria, FR",
QCRYPT,2022,program,member,Mario Berta,"AWS & Imperial College London, US/GB",
QCRYPT,2022,program,member,Yanbao Zhang,"NTT, JP",
QCRYPT,2022,program,member,Stefano Pironio,"Université libre de Bruxelles, BE",
QCRYPT,2022,program,member,Aleksey Fedorov,"Russian Quantum Center, RU",
QCRYPT,2022,program,member,Wang Xiangbin,"Tsinghua University, CN",
QCRYPT,2022,program,member,Rotem Arnon-Friedman,"Weizmann Institute of Science, IL",
QCRYPT,2022,program,member,Ernest Tan,"University of Waterloo, CA",
QCRYPT,2022,program,member,Anna Pappa,"Technical University of Berlin, DE",
QCRYPT,2022,program,member,Valerio Scarani,"National University of Singapore, SG",
QCRYPT,2022,program,member,Hoi-Kwong Lo,"University of Hong Kong, HK",
QCRYPT,2022,program,member,Liang Jiang,"University of Chicago, US",
QCRYPT,2022,program,member,Anurag Anshu,"Harvard University, US",
QCRYPT,2022,program,member,Romain Alleaume,"Telecom Paris, FR",
QCRYPT,2022,program,member,Tobias Gehring,"Technical University of Denmark, DK",
QCRYPT,2022,program,member,Nino Walenta,"Fraunhofer HHI, DE",
QCRYPT,2022,program,member,Zhiliang Yuan,"Beijing Academy of Quantum Information Sciences, CN",
QCRYPT,2022,program,member,Yuan Cao,"University of Science and Technology of China, CN",
QCRYPT,2022,program,member,Zheshen Zhang,"University of Arizona, US",
QCRYPT,2022,program,member,Veronica Fernandez,"Spanish National Research Council, ES",
QCRYPT,2022,program,member,Jacqui Romero,"University of Queensland, AU",
QCRYPT,2022,program,member,Bing Qi,"Cisco, US",
QCRYPT,2022,program,member,Eleni Diamanti,"Sorbonne University, FR",
QCRYPT,2022,program,member,Wang Chao,"National University of Singapore, SG",
QCRYPT,2022,program,member,Davide Rusca,"University of Geneva, CH",
QCRYPT,2022,program,member,Djeylan Aktas,"Slovak Academy of Sciences, SK",
QCRYPT,2022,program,member,Siddarth Joshi,"University of Bristol, GB",
QCRYPT,2022,program,member,Yunhong Ding,"Technical University of Denmark, DK",
