venue,year,paper_type,title,authors,arxiv_ids,speaker,scheduled_date,scheduled_time,duration_minutes,session_name
QIP,2026,regular,Parallel Spooky Pebble Games and Regev's Factoring Algorithm,Gregory D. Kahanamoku-Meyer;Seyoon Ragavan;Katherine Van Kirk,,,,,,
QIP,2026,regular,Fault-tolerant protocols through spacetime concatenation,Yichen Xu;Arpit Dua,2504.08918,Arpit Dua,30 January,16:00,20,
QIP,2026,regular,Hamiltonians and random unitaries,Laura Cui;Liang Mao;Fernando Brandao;Hsin-Yuan Huang;Thomas Schuster,,Laura Cui,28 January,14:00,20,
QIP,2026,regular,"Haar random codes attain the quantum Hamming bound, approximately",Fermi Ma;Xinyu Tan;John Wright,,Fermi Ma,26 January,16:00,20,
QIP,2026,regular,Mechanisms for Quantum Advantage in Global Optimization of Nonconvex Functions,Dylan Herman;Guneykan Ozgul;Anuj Apte;Junhyung Lyle Kim;Anupam Prakash;Jiayu Shen;Shouvanik Chakrabarti,,Dylan Herman,26 January,14:30,20,
QIP,2026,regular,"Quantum Relative Entropy Decay Composition Yields Shallow, Unstructured k-Designs",Nicholas Laracuente,,Nicholas Laracuente,30 January,16:00,20,
QIP,2026,regular,Average-Case Hardness and Reducibility of Decoding Quantum Stabilizer Codes,Andrey Khesin;Jonathan Lu;Alexander Poremba;Yihui Quek;Akshar Ramkumar;Peter Shor;Vinod Vaikuntanathan,,Jonathan Lu,27 January,16:00,20,
QIP,2026,regular,Nonlocality of Quantum States Can be Transitive,Kai-Siang Chen;Gelo Noel M. Tabia;Chung-Yun Hsieh;Yu-Chun Yin;Yeong-Cherng Liang,2412.10505,Kai-Siang Chen,29 January,16:00,20,
QIP,2026,regular,The debiased Keyl's algorithm: a new unbiased estimator for full state tomography,Angelos Pelecanos;Jack Spilecki;John Wright,,Jack Spilecki,29 January,13:30,20,Merged slot
QIP,2026,regular,A Quantum Time-Space Tradeoff for Directed st-Connectivity,Stacey Jeffery;Galina Pass,,Galina Pass,30 January,11:30,20,
QIP,2026,regular,On the optimization of quantum divergences,Gereon Kossmann;René Schwonnek;Mario Berta;Mark M. Wilde,"2404.17016,2410.16362,2411.04858",Gereon Koßmann,27 January,13:30,20,
QIP,2026,plenary_short,"Single-Shot, Universal Protocols via Code Switching",Michael Gullans;Yifan Hong;Min-Hsiu Hsieh;Ting-Chun Lin;Shi Jie Samuel Tan,,Shi Jie Samuel Tan,29 January,10:00,30,
QIP,2026,regular,Universal tradeoff relations between resource cost and irreversibility of channels: General-resource Wigner-Araki-Yanase theorems and beyond,Hiroyasu Tajima;Koji Yamaguchi;Ryuji Takagi;Yui Kuramochi,2507.23760,,,,,
QIP,2026,regular,Gluing Random Unitaries with Inverses,Prabhanjan Ananth;John Bostanci;Aditya Gulati;Yao-Ting Lin,,Aditya Gulati,28 January,14:00,20,
QIP,2026,regular,Breaking the Treewidth Barrier in Quantum Circuit Simulation with Decision Diagrams,Bin Cheng;Ziyuan Wang;Longxiang Yuan;Ruixuan Deng;Jianxin Chen;Zhengfeng Ji,2509.08276,Bin Cheng,29 January,14:00,20,
QIP,2026,regular,When Quantum Nonlocality Does Not Play Dice \&\\ No Bound Randomness in Quantum Nonlocality,Ravishankar Ramanathan;Yuan Liu;Yutian Wu;Stefano Pironio,2408.03665,Ravishankar Ramanathan,29 January,16:30,20,
QIP,2026,regular,Quartic quantum speedups for community detection,Alexander Schmidhuber;Alexander Zlokapa,,Alexander Zlokapa,30 January,14:00,20,
QIP,2026,plenary_short,Strong random unitaries and fast scrambling,Thomas Schuster;Fermi Ma;Alex Lombardi;Fernando Brandao;Hsin-Yuan Huang,,Thomas Schuster,27 January,11:30,30,
QIP,2026,regular,Hardness of recognizing phases of matter,Thomas Schuster;Dominik Kufel;Norman Y. Yao;Hsin-Yuan Huang,,Thomas Schuster,30 January,09:00,20,
QIP,2026,regular,Hamiltonian Decoded Quantum Interferometry,Alexander Schmidhuber;Jonathan Z Lu;Stephen Jordan;Alexander Poremba;Noah Shutty;Yihui Quek,,Alexander Schmidhuber,27 January,14:00,20,
QIP,2026,regular,Optimising quantum data hiding,Francesco Anna Mele;Ludovico Lami,,Francesco Anna Mele,30 January,11:30,20,
QIP,2026,regular,Exponential Advantage from One More Replica in Estimating Nonlinear Properties of Quantum States,Qi Ye;Dong-Ling Deng;Zhenhuan Liu,,Qi Ye,29 January,14:00,20,Merged slot
