venue,year,paper_type,title,authors,arxiv_ids,speaker,scheduled_date,scheduled_time,duration_minutes,session_name
QIP,2026,regular,Gap-preserving reductions and RE-completeness of independent set games,Laura Mančinska;Pieter Spaas;Taro Spirig;Matthijs Vernooij,2505.05253,Laura Manˇcinska,26 January,15:30,20,
QIP,2026,regular,Entanglement theory with limited computational resources,Lorenzo Leone;Jacopo Rizzo;Jens Eisert;Sofiene Jerbi,2502.12284,Lorenzo Leone,27 January,14:00,20,Merged slot
QIP,2026,regular,MIPco=coRE,Junqiao Lin,,,,,,
QIP,2026,regular,Information-Computation Gaps in Quantum Learning via Low-Degree Likelihood,Sitan Chen;Weiyuan Gong;Jonas Haferkamp;Yihui Quek,2505.22743,Yihui Quek,27 January,15:00,20,
QIP,2026,regular,The firewall paradox is Wigner's friend paradox,Ladina Hausmann;Renato Renner,2504.03835,Ladina Hausmann,30 January,13:00,20,
QIP,2026,regular,Continuous-Variable Quantum MacWilliams Identities,Ansgar G. Burchards,2502.09514,Ansgar G. Burchards,26 January,15:30,20,
QIP,2026,regular,Efficient Learning Implies Quantum Glassiness,Eric Anschuetz,2505.00087,Eric Anschuetz,27 January,16:30,20,
QIP,2026,regular,A Meta-Complexity Characterization of Minimal Quantum Cryptography,Bruno Cavalar;Boyang Chen;Andrea Coladangelo;Matthew Gray;Zihan Hu;Zhengfeng Ji;Xingjian Li,,Boyang Chen,27 January,15:30,20,
QIP,2026,regular,"On One-Shot Signatures, Quantum vs Classical Binding, and Obfuscating Permutations",Omri Shmueli;Mark Zhandry,2507.12456,Omri Shmueli,29 January,15:30,20,
QIP,2026,regular,Tight and self-testing multipartite quantum Bell inequalities from the renormalization group,Paolo Abiuso;Julian Fischer;Miguel Navascues,2503.03878,Paolo Abiuso,29 January,15:00,20,
QIP,2026,regular,Quantum Computational Entropies,Noam Avidan;Thomas A. Hahn;Rotem Arnon;Joseph M. Renes,"2505.13710,2506.14068",Thomas A. Hahn,27 January,14:00,20,Merged slot
QIP,2026,regular,Parent Lindbladians for Matrix Product Density Operators,Yuhan Liu;Alberto Ruiz-de-Alarcon;Georgios Styliaris;Xiao-Qi Sun;David Perez-Garcia;Ignacio Cirac,2501.10552,Yuhan Liu,27 January,13:30,20,
QIP,2026,regular,Cyclic quantum causal modelling with a graph separation theorem,Carla Ferradini;Victor Gitton;V. Vilasini,2502.04168,Carla Ferradini,26 January,14:00,20,
QIP,2026,regular,"Cloning Games, Black Holes and Cryptography",Alexander Poremba;Seyoon Ragavan;Vinod Vaikuntanathan,2411.04730,Seyoon Ragavan,30 January,13:30,20,
QIP,2026,regular,The abelian state hidden subgroup problem: Learning stabilizer groups and beyond,Marcel Hinsche;Jose Carrasco;Jens Eisert,2505.15770,Marcel Hinsche,29 January,13:00,20,
QIP,2026,regular,The Jacobi Factoring Circuit: Quantum Factoring in Near-Linear Gates and Sublinear Space,Gregory D. Kahanamoku-Meyer;Seyoon Ragavan;Vinod Vaikuntanathan;Katherine Van Kirk,2412.12558,Seyoon Ragavan,29 January,13:00,20,
QIP,2026,regular,Quantum Advantage from Sampling Shallow Circuits: Beyond Hardness of Marginals,Daniel Grier;Daniel M. Kane;Jackson Morris;Anthony Ostuni;Kewen Wu,,Jackson Morris,30 January,10:00,20,
QIP,2026,regular,Computational aspects of the trace norm contraction coefficient,Idris Delsol;Omar Fawzi;Jan Kochanowski;Akshay Ramachandran,2507.16737,Idris Delsol,26 January,14:30,20,Merged slot
QIP,2026,regular,Heisenberg-limited Hamiltonian learning continuous variable systems via engineered dissipation,Tim Möbus;Andreas Bluhm;Tuvia Gefen;Yu Tong;Albert H. Werner;Cambyse Rouzé,2506.00606,Tim M¨obus,27 January,15:30,20,
QIP,2026,regular,Quantum Computing Enhanced Sensing,Richard R. Allen;Francisco Machado;Isaac L. Chuang;Robert Huang;Soonwon Choi,2501.07625,Richard R. Allen,27 January,16:00,20,
QIP,2026,regular,Two bases suffice for QMA1-completeness,Henry Ma;Anand Natarajan,,Henry Ma,26 January,16:30,20,
QIP,2026,regular,The NPA hierarchy does not always attain the commuting operator value,Marco Fanizza;Larissa Kroell;Arthur Mehta;Connor Paddock;Denis Rochette;William Slofstra;Yuming Zhao,,Yuming Zhao,28 January,13:00,20,
QIP,2026,regular,Efficient Quantum Optimization via Dynamical Simulation,Ahmet Burak Catli;Sophia Simon;Nathan Wiebe,2502.04285,Ahmet Burak C¸ath,26 January,14:00,20,
QIP,2026,regular,Adversarially robust quantum state learning and testing,Maryam Aliakbarpour;Nai-Hui Chia;Vladimir Braverman;Yuhan Liu,2508.13959,Vladimir Braverman,29 January,13:00,20,
QIP,2026,regular,Fast quantum computation with all-to-all Hamiltonians,Chao Yin,,Chao Yin,26 January,14:30,20,
QIP,2026,regular,Quantum Codes with Addressable and Transversal Non-Clifford Gates,Zhiyang (Sunny) He;Vinod Vaikuntanathan;Adam Wills;Rachel Yun Zhang,"2502.01864,2507.05392",Adam Wills,27 January,16:30,20,
QIP,2026,regular,Optimal Distillation of Qubit Clocks,Sujay Kazi;Iman Marvian,,Sujay Kazi,27 January,13:00,20,
QIP,2026,plenary_short,Constructive counterexamples to the additivity of minimum output Rényi entropy of quantum channels for all p>1,Harm Derksen;Benjamin Lovitz,,,,,,
QIP,2026,regular,Quantum Circuit Complexity of Matrix-Product Unitaries,Georgios Styliaris;Rahul Trivedi;J. Ignacio Cirac,2508.08160,Georgios Styliaris,29 January,16:30,20,
