venue,year,paper_type,is_proceedings_track,title,speakers,authors,affiliations,arxiv_ids,session_name,scheduled_date,scheduled_time,duration_minutes,presentation_url,video_url,youtube_id,award,notes
TQC,2019,regular,TRUE,On Quantum Chosen-Ciphertext Attacks and Learning with Errors,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.1/LIPIcs.TQC.2019.1.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.1; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,"Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge",Shalev Ben-David; Robin Kothari,Shalev Ben-David; Robin Kothari,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.2/LIPIcs.TQC.2019.2.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.2; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,Circuit Transformations for Quantum Architectures,Andrew M. Childs; Eddie Schoute; Cem M. Unsal,Andrew M. Childs; Eddie Schoute; Cem M. Unsal,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.3/LIPIcs.TQC.2019.3.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.3; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,The RGB No-Signalling Game,Xavier Coiteux-Roy; Claude Crépeau,Xavier Coiteux-Roy; Claude Crépeau,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.4/LIPIcs.TQC.2019.4.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.4; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,On the Qubit Routing Problem,Alexander Cowtan; Silas Dilkes; Ross Duncan; Alexandre Krajenbrink; Will Simmons; Seyon Sivarajah,Alexander Cowtan; Silas Dilkes; Ross Duncan; Alexandre Krajenbrink; Will Simmons; Seyon Sivarajah,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.5/LIPIcs.TQC.2019.5.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.5; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,Applications of the Quantum Algorithm for st-Connectivity,Kai DeLorenzo; Shelby Kimmel; R. Teal Witter,Kai DeLorenzo; Shelby Kimmel; R. Teal Witter,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.6/LIPIcs.TQC.2019.6.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.6; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,Bayesian ACRONYM Tuning,John Gamble; Christopher Granade; Nathan Wiebe,John Gamble; Christopher Granade; Nathan Wiebe,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.7/LIPIcs.TQC.2019.7.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.7; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,A Compressed Classical Description of Quantum States,David Gosset; John Smolin,David Gosset; John Smolin,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.8/LIPIcs.TQC.2019.8.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.8; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,Approximate Unitary n^{2/3}-Designs Give Rise to Quantum Channels with Super Additive Classical Holevo Capacity,Aditya Nema; Pranab Sen,Aditya Nema; Pranab Sen,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.9/LIPIcs.TQC.2019.9.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.9; LIPIcs proceedings (Dagstuhl)
TQC,2019,regular,TRUE,Parameterization of Tensor Network Contraction,Bryan O'Gorman,Bryan O'Gorman,,,Proceedings track (LIPIcs),,,,https://drops.dagstuhl.de/storage/00lipics/lipics-vol135-tqc2019/LIPIcs.TQC.2019.10/LIPIcs.TQC.2019.10.pdf,,,,DOI: 10.4230/LIPIcs.TQC.2019.10; LIPIcs proceedings (Dagstuhl)
