venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2014,regular,A new quantum generalization of the Rényi divergence with applications to the strong converse in quantum channel coding,Frédéric Dupuis,Frédéric Dupuis;Serge Fehr;Martin Müller-Lennert;Oleg Szehr;Marco Tomamichel;Mark Wilde;Andreas Winter;Dong Yang,,,,,,,,merged with,,,
QIP,2014,regular,Quantum hypothesis testing and the operational interpretation of the quantum Renyi divergences,Milan Mosonyi,Milan Mosonyi;Tomohiro Ogawa,,,,,,,,,,,
QIP,2014,regular,Exponential improvement in precision for Hamiltonian-evolution simulation,Dominic Berry,Dominic Berry;Richard Cleve;Rolando Somma,,,,,,,,merged with,,,
QIP,2014,regular,Quantum simulation of sparse Hamiltonians and continuous queries with optimal error dependence,Andrew Childs,Andrew Childs;Robin Kothari,,,,,,,,,,,
QIP,2014,regular,Entanglement rates and area laws,Michaël Mariën,Michaël Mariën;Karel Van Acoleyen;Frank Verstraete,,,,,,,,merged with,,,
QIP,2014,regular,Quantum skew divergence,Koenraad Audenaert,Koenraad Audenaert,,,,,,,,,,,
QIP,2014,regular,Binary constraint system games and locally commutative reductions,Zhengfeng Ji,Zhengfeng Ji,,,,,,,,merged with,,,
QIP,2014,regular,Characterization of binary constraint system games,Richard Cleve,Richard Cleve;Rajat Mittal,,,,,,,,,,,
QIP,2014,regular,Robust protocols for securely expanding randomness and distributing keys using untrusted quantum devices,Carl Miller,Carl Miller;Yaoyun Shi,,,,,,,,merged with,,,
QIP,2014,regular,Physical Randomness Extractors,Kai-Min Chung,Kai-Min Chung;Yaoyun Shi;Xiaodi Wu,,,,,,,,,,,
QIP,2014,regular,Quantum interactive proofs and the complexity of entanglement detection,Kevin Milner,Kevin Milner;Gus Gutoski;Patrick Hayden;Mark Wilde,,,,,,,,,,,
QIP,2014,regular,Quantum Fourier transforms and the complexity of link invariants for quantum doubles of finite groups,Hari Krovi,Hari Krovi;Alexander Russell,,,,,,,,,,,
QIP,2014,regular,Classical and quantum fractal code,Beni Yoshida,Beni Yoshida,,,,,,,,,,,
QIP,2014,regular,Noisy Interactive quantum communication,Gilles Brassard,Gilles Brassard;Ashwin Nayak;Alain Tapp;Dave Touchette;Falk Unger,,,,,,,,,,,
QIP,2014,regular,Entanglement sampling and applications,Frédéric Dupuis,Frédéric Dupuis;Omar Fawzi;Stephanie Wehner,,,,,,,,,,,
QIP,2014,regular,Stability of local quantum dissipative systems,Toby Cubitt,Toby Cubitt;Angelo Lucia;Spyridon Michalakis;David Perez Garcia,,,,,,,,,,,
QIP,2014,regular,Efficient quantum protocols for XOR functions,Shengyu Zhang,Shengyu Zhang,,,,,,,,,,,
QIP,2014,regular,A polynomial-time algorithm for the ground state of 1D gapped local Hamiltonians,Zeph Landau,Zeph Landau;Umesh Vazirani;Thomas Vidick,,,,,,,,,,,
QIP,2014,regular,No psi-epistemic model can explain the indistinguishability of quantum states,Eric Cavalcanti,Eric Cavalcanti;Jonathan Barrett;Raymond Lal;Owen Maroney,,,,,,,,,,,
QIP,2014,regular,Classification of the complexity of local Hamiltonian problems,Ashley Montanaro,Ashley Montanaro;Toby Cubitt,,,,,,,,,,,
QIP,2014,regular,Purifications of multipartite states: limitations and constructive methods,Gemma De Las Cuevas,Gemma De Las Cuevas;Norbert Schuch;David Pérez-García;J. Ignacio Cirac,,,,,,,,,,,
QIP,2014,regular,Almost quantum,Miguel Navascues,Miguel Navascues;Yelena Guryanova;Matty Hoban;Antonio Acín,,,,,,,,,,,
QIP,2014,regular,What is the overhead required for fault-tolerant quantum computation?,Daniel Gottesman,Daniel Gottesman,,,,,,,,,,,
QIP,2014,regular,Infinite randomness expansion and amplification with a constant number of devices,Matthew Coudron,Matthew Coudron;Henry Yuen,,,,,,,,,,,
QIP,2014,regular,A parallel repetition theorem for entangled projection games,Irit Dinur,Irit Dinur;David Steurer;Thomas Vidick,,,,,,,,,,,
QIP,2014,regular,Long-range entanglement is necessary for a topological storage of information,Isaac Kim,Isaac Kim,,,,,,,,,,,
QIP,2014,regular,Quantum subdivision capacities and continuous-time quantum coding,Alexander Müller-Hermes,Alexander Müller-Hermes;David Reeb;Michael Wolf,,,,,,,,,,,
QIP,2014,regular,The Bose-Hubbard model is QMA-complete,Andrew M. Childs,Andrew M. Childs;David Gosset;Zak Webb,,,,,,,,,,,
QIP,2014,regular,Quantum 3-SAT is QMA1-complete,David Gosset,David Gosset;Daniel Nagaj,,,,,,,,,,,
QIP,2014,regular,Zero-error source-channel coding with entanglement,Jop Briet,Jop Briet;Harry Buhrman;Monique Laurent;Teresa Piovesan;Giannicola Scarpa,,,,,,,,,,,
QIP,2014,regular,Quantum locally testable codes,Dorit Aharonov,Dorit Aharonov;Lior Eldar,,,,,,,,,,,
QIP,2014,regular,Universal fault-tolerant quantum computation with only transversal gates and error correction,Adam Paetznick,Adam Paetznick;Ben Reichardt,,,,,,,,,,,
QIP,2014,regular,Bound entangled states with secret key and their classical counterpart,Maris Ozols,Maris Ozols;Graeme Smith;John A. Smolin,,,,,,,,,,,
QIP,2014,regular,Robust device-independent randomness amplification with few devices,Fernando Brandao,Fernando Brandao;Ravishankar Ramanathan;Andrzej Grudka;Karol Horodecki;Michal Horodecki;Pawel Horodecki,,,,,,,,,,,
QIP,2014,regular,Undecidability of the spectral gap,Toby Cubitt,Toby Cubitt;David Perez-Garcia;Michael Wolf,,,,,,,,,,,
QIP,2014,regular,An improved Landauer Principle with finite-size corrections and applications to statistical physics,David Reeb,David Reeb;Michael M. Wolf,,,,,,,,,,,
QIP,2014,regular,The second laws of quantum thermodynamics,Fernando Brandao,Fernando Brandao;Michal Horodecki;Jonathan Oppenheim;Nelly Ng;Stephanie Wehner,,,,,,,,,,,
QIP,2014,regular,Parallel repetition of entangled games with exponential decay via the superposed information cost,André Chailloux,André Chailloux;Giannicola Scarpa,,,,,,,,,,,
QIP,2014,regular,Decoupling with random quantum circuits,Winton Brown,Winton Brown;Omar Fawzi,,,,,,,,,,,
QIP,2014,regular,Nested quantum walk,Andrew Childs,Andrew Childs;Stacey Jeffery;Robin Kothari;Frederic Magniez,,,,,,,,,,,
QIP,2014,regular,Single-shot security for one-time memories in the isolated qubits model,Yi-Kai Liu,Yi-Kai Liu,,,,,,,,,,,
