venue,year,paper_type,is_proceedings_track,title,speakers,authors,affiliations,arxiv_ids,session_name,scheduled_date,scheduled_time,duration_minutes,presentation_url,video_url,youtube_id,award,notes
TQC,2021,regular,FALSE,Efficient verification of Boson Sampling,Ulysse Chabaud; Frédéric Grosshans; Elham Kashefi; Damian Markham,Ulysse Chabaud; Frédéric Grosshans; Elham Kashefi; Damian Markham,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Covariance Decomposition as a Universal Limit on Correlations in Networks,Salman Beigi; Marc-Olivier Renou,Salman Beigi; Marc-Olivier Renou,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,RLD Fisher Information Bound for Multiparameter Estimation of Quantum Channels,Vishal Katariya; Mark Wilde,Vishal Katariya; Mark Wilde,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Leveraging Unknown Structure in Quantum Query Algorithms,Noel Anderson; Jay-U Chung; Shelby Kimmel,Noel Anderson; Jay-U Chung; Shelby Kimmel,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Charge-conserving unitaries typically generate optimal covariant quantum error-correcting codes,Linghang Kong; Zi-Wen Liu,Linghang Kong; Zi-Wen Liu,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum simulation with randomized product formulas: A concentration analysis,Chi-Fang Chen; Hsin-Yuan Huang; Richard Kueng; Joel Tropp,Chi-Fang Chen; Hsin-Yuan Huang; Richard Kueng; Joel Tropp,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Bounds on the QAC^0 Complexity of Approximating Parity,Gregory Rosenthal,Gregory Rosenthal,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,One-shot manipulation of dynamical quantum resources,Bartosz Regula; Ryuji Takagi,Bartosz Regula; Ryuji Takagi,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,"Faster Coherent Quantum Algorithms for Phase, Energy, and Amplitude Estimation",Patrick Rall,Patrick Rall,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Time-Space Tradeoff for Finding Multiple Collision Pairs,Yassine Hamoudi; Frederic Magniez,Yassine Hamoudi; Frederic Magniez,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Hidden Variable Model for Universal Quantum Computation with Magic States on Qubits,Michael Zurel; Cihan Okay; Robert Raussendorf,Michael Zurel; Cihan Okay; Robert Raussendorf,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Entanglement Induced Barren Plateaus,Carlos Ortiz Marrero; Maria Kieferova; Nathan Wiebe,Carlos Ortiz Marrero; Maria Kieferova; Nathan Wiebe,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Reducing the CNOT count for Clifford+T circuits on NISQ architectures,Vlad Gheorghiu; Sarah Meng Li; Michele Mosca; Priyanka Mukhopadhyay,Vlad Gheorghiu; Sarah Meng Li; Michele Mosca; Priyanka Mukhopadhyay,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Even more efficient quantum computations of chemistry through tensor hypercontraction,Joonho Lee; Dominic Berry; Craig Gidney; William Huggins; Jarrod McClean; Nathan Wiebe; Ryan Babbush,Joonho Lee; Dominic Berry; Craig Gidney; William Huggins; Jarrod McClean; Nathan Wiebe; Ryan Babbush,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,New Approaches for Quantum Copy-Protection,Scott Aaronson; Jiahui Liu; Qipeng Liu; Mark Zhandry; Ruizhe Zhang,Scott Aaronson; Jiahui Liu; Qipeng Liu; Mark Zhandry; Ruizhe Zhang,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Lieb-Robinson bound and almost linear light cone in interacting boson systems,Tomotaka Kuwahara; Keiji Saito,Tomotaka Kuwahara; Keiji Saito,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Pseudorandomness and Classical Complexity,William Kretschmer,William Kretschmer,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Measurement Error Mitigation via Truncated Neumann Series,Kun Wang; Yu-Ao Chen; Xin Wang,Kun Wang; Yu-Ao Chen; Xin Wang,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Entanglement consumption in attacks to Position Based Cryptography from geometry of Banach spaces,Aleksander Marcin Kubicki; Marius Junge; Carlos Palazuelos; David Pérez-García,Aleksander Marcin Kubicki; Marius Junge; Carlos Palazuelos; David Pérez-García,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Genuine multipartite nonlocality is intrinsic to pure-state quantum networks,Patricia Contreras Tejada; Carlos Palazuelos; Julio de Vicente,Patricia Contreras Tejada; Carlos Palazuelos; Julio de Vicente,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,A general framework for randomized benchmarking,Jonas Helsen; Ingo Roth; Emilio Onorati; Albert Werner; Jens Eisert,Jonas Helsen; Ingo Roth; Emilio Onorati; Albert Werner; Jens Eisert,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Matchgate benchmarking: Scalable benchmarking of a continuous family of many-qubit gates,Jonas Helsen; Sepehr Nezami; Matthew Reagor; Michael Walter,Jonas Helsen; Sepehr Nezami; Matthew Reagor; Michael Walter,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Sample Efficient Algorithms for Learning Quantum Channels in PAC Model and the Approximate State Discrimination Problem,Kai-Min Chung; Han-Hsuan Lin,Kai-Min Chung; Han-Hsuan Lin,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,A family of additive multipartite entanglement measures,Péter Vrana,Péter Vrana,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,StoqMA meets distribution testing,Yupan Liu,Yupan Liu,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Stabilizer extent is not multiplicative,Arne Heimendahl; Felipe Montealegre-Mora; Frank Vallentin; David Gross,Arne Heimendahl; Felipe Montealegre-Mora; Frank Vallentin; David Gross,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Fault-tolerant syndrome extraction and cat state preparation with fewer qubits,Prithviraj Prabhu; Ben Reichardt,Prithviraj Prabhu; Ben Reichardt,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Upper bounds on device-independent quantum key distribution rates,Rotem Arnon-Friedman; Matthias Christandl; Roberto Ferrara; Karol Horodecki; Felix Leditzky,Rotem Arnon-Friedman; Matthias Christandl; Roberto Ferrara; Karol Horodecki; Felix Leditzky,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Balanced Product Quantum Codes,Nikolas Breuckmann; Jens Eberhardt,Nikolas Breuckmann; Jens Eberhardt,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Oscillator-to-oscillator codes do not have a threshold,Lisa Hänggli; Robert König,Lisa Hänggli; Robert König,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,A note about claw function with a small range,Andris Ambainis; Kaspars Balodis; Jānis Iraids,Andris Ambainis; Kaspars Balodis; Jānis Iraids,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Generalization in Quantum Machine Learning: a Quantum Information Perspective,Leonardo Banchi; Jason Pereira; Stefano Pirandola,Leonardo Banchi; Jason Pereira; Stefano Pirandola,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,A Direct Product Theorem for One-Way Quantum Communication,Rahul Jain; Srijita Kundu,Rahul Jain; Srijita Kundu,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Enumerating all bilocal Clifford distillation protocols through symmetry reduction,Sarah Jansen; Kenneth Goodenough; Sebastian de Bone; Dion Gijswijt; David Elkouss,Sarah Jansen; Kenneth Goodenough; Sebastian de Bone; Dion Gijswijt; David Elkouss,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Fast and robust quantum state tomography from few basis measurements,Daniel Stilck França; Richard Kueng; Fernando Brandao,Daniel Stilck França; Richard Kueng; Fernando Brandao,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,A game of quantum advantage: linking verification and simulation,Daniel Stilck França; Raul Garcia-Patron Sanchez,Daniel Stilck França; Raul Garcia-Patron Sanchez,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Four-dimensional toric code with non-Clifford transversal gates,Tomas Jochym-O’Connor; Theodore Yoder,Tomas Jochym-O’Connor; Theodore Yoder,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Optimization at the boundary of the tensor network variety,Daniel Stilck França; Fulvio Gesmundo; Matthias Christandl; Albert H. Werner,Daniel Stilck França; Fulvio Gesmundo; Matthias Christandl; Albert H. Werner,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Efficient estimation of Pauli observables by derandomization,Hsin-Yuan Huang; Richard Kueng; John Preskill,Hsin-Yuan Huang; Richard Kueng; John Preskill,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Pauli error estimation via Population Recovery,Steven Flammia; Ryan O’Donnell,Steven Flammia; Ryan O’Donnell,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Gravity in the Lab: Teleportation by Size and Traversable Wormholes,Adam Brown; Hrant Gharibyan; Stefan Leichenauer; Henry Lin; Sepehr Nezami; Grant Salton; Leonard Susskind; Brian Swingle; Michael Walter,Adam Brown; Hrant Gharibyan; Stefan Leichenauer; Henry Lin; Sepehr Nezami; Grant Salton; Leonard Susskind; Brian Swingle; Michael Walter,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Universal Fault-Tolerant Quantum Computing with Stabiliser Codes,Paul Webster; Michael Vasmer; Thomas R. Scruby; Stephen D. Bartlett,Paul Webster; Michael Vasmer; Thomas R. Scruby; Stephen D. Bartlett,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Locally unencoding the color code,Michael Vasmer; Aleksander Kubica,Michael Vasmer; Aleksander Kubica,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Cost of universality: A comparative study of the overhead of state distillation and code switching with color codes,Michael Beverland; Aleksander Kubica; Krysta Svore,Michael Beverland; Aleksander Kubica; Krysta Svore,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Implementing a fast unbounded quantum fanout gate using power-law interactions,Andrew Guo; Abhinav Deshpande; Su-Kuan Chu; Zachary Eldredge; Przemyslaw Bienias; Dhruv Devulapalli; Yuan Su; Andrew Childs; Alexey Gorshkov,Andrew Guo; Abhinav Deshpande; Su-Kuan Chu; Zachary Eldredge; Przemyslaw Bienias; Dhruv Devulapalli; Yuan Su; Andrew Childs; Alexey Gorshkov,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Tensor network decoding of arbitrary 2D Pauli codes,Christopher Chubb,Christopher Chubb,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Single-shot error correction and universal fault-tolerant computation with the three-dimensional subsystem toric code,Aleksander Kubica; Michael Vasmer; Joseph Iverson,Aleksander Kubica; Michael Vasmer; Joseph Iverson,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Thermalization in Kitaev’s quantum double models via Tensor Network techniques,Angelo Lucia; David Pérez-García; Antonio Pérez-Hernández,Angelo Lucia; David Pérez-García; Antonio Pérez-Hernández,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,One-shot quantum state redistribution and quantum Markov chains,Anurag Anshu; Shima Bab Hadiashar; Rahul Jain; Ashwin Nayak; Dave Touchette,Anurag Anshu; Shima Bab Hadiashar; Rahul Jain; Ashwin Nayak; Dave Touchette,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Fermion Sampling: a robust quantum computational advantage scheme usingfermionic linear optics and magic input states,Michal Oszmaniec; Ninnat Dangniam; Mauro Morales; Zoltan Zimboras,Michal Oszmaniec; Ninnat Dangniam; Mauro Morales; Zoltan Zimboras,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum state redistribution for ensemble sources,Zahra Baghali Khanian; Andreas Winter,Zahra Baghali Khanian; Andreas Winter,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Robust shadow estimation,Senrui Chen; Wenjun Yu; Pei Zeng; Steven T. Flammia,Senrui Chen; Wenjun Yu; Pei Zeng; Steven T. Flammia,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum lower bounds based on hardness of the 3SUM problem,Subhasree Patro; Harry Buhrman; Florian Speelman; Bruno Loff,Subhasree Patro; Harry Buhrman; Florian Speelman; Bruno Loff,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Probability Oracles & Multidimensional Amplitude Estimation,Joran van Apeldoorn,Joran van Apeldoorn,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Efficient learning of quantum extensive observables,Daniel Stilck França; Cambyse Rouze,Daniel Stilck França; Cambyse Rouze,,,Accepted,,,,,,,,
TQC,2021,regular,FALSE,Quantum Logarithmic Space and Post-Selection,Francois Le Gall; Harumichi Nishimura; Abuzer Yakaryilmaz,Francois Le Gall; Harumichi Nishimura; Abuzer Yakaryilmaz,,,Accepted,,,,,,,,
