venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2016,regular,Universal recoverability in quantum information theory,Omar Fawzi,Omar Fawzi;Marius Junge;Renato Renner;David Sutter;Mark Wilde;Andreas Winter,,,,,,,,,,,
QIP,2016,regular,"Gapped boundaries, group cohomology and fault-tolerant logical gates and Beni Yoshida. Topological phases with generalized global symmetries",Beni Yoshida,Beni Yoshida,,,,,,,,Merger of:,,,
QIP,2016,regular,"Renes, Marco Tomamichel, Mark Wilde and Andreas Winter. Strong Converse and Finite Resource Tradeoffs for Quantum Channels",Mario Berta,Mario Berta;Joseph M,,,,,,,,,,,
QIP,2016,regular,Quantum walk speedup of backtracking algorithms,Ashley Montanaro,Ashley Montanaro,,,,,,,,,,,
QIP,2016,regular,Efficient Quantum Algorithms for (Gapped) Group Testing and Junta Testing,Andris Ambainis,Andris Ambainis;Aleksandrs Belovs;Oded Regev;Ronald de Wolf,,,,,,,,,,,
QIP,2016,regular,"Efficient quantum tomography and Jeongwan Haah, Aram Harrow, Zhengfeng Ji, Xiaodi Wu and Nengkun Yu. Sampleoptimal tomography of quantum states",Ryan O'Donnell,Ryan O'Donnell;John Wright,,,,,,,,Merger of:,,,
QIP,2016,regular,Average-case complexity versus approximate simulation of commuting quantum computations,Michael Bremner,Michael Bremner;Ashley Montanaro;Daniel Shepherd,,,,,,,,,,,
QIP,2016,regular,Approximate degradable quantum channels,David Sutter,David Sutter;Volkher Scholz;Andreas Winter;Renato Renner,,,,,,,,,,,
QIP,2016,regular,Unfolding the color code,Aleksander Kubica,Aleksander Kubica;Beni Yoshida;Fernando Pastawski,,,,,,,,,,,
QIP,2016,regular,Ignacio Cirac. Rapid adiabatic preparation of injective PEPS and Gibbs states,Yimin Ge,Yimin Ge;Andras Molnar;J,,,,,,,,,,,
QIP,2016,regular,Anchoring games for parallel repetition,Mohammad Bavarian,Mohammad Bavarian;Thomas Vidick;Henry Yuen,,,,,,,,,,,
QIP,2016,regular,Quantum homomorphic encryption for circuits of low T-gate complexity,Anne Broadbent,Anne Broadbent;Stacey Jeffery,,,,,,,,,,,
QIP,2016,regular,Separations in Query Complexity Based on Pointer Functions,Andris Ambainis,Andris Ambainis;Kaspars Balodis;Aleksandrs Belovs;Troy Lee;Juris Smotrovs;Miklos Santha,,,,,,,,,,,
QIP,2016,regular,Gapped and gapless phases of frustration-free spin-1/2 chains,Sergey Bravyi,Sergey Bravyi;David Gosset,,,,,,,,,,,
QIP,2016,regular,"A linear time algorithm for quantum 2-SAT and Itai Arad, Miklos Santha, Aarthi Sundaram and Shengyu Zhang. Linear time algorithm for quantum 2SAT",Niel de Beaudrap,Niel de Beaudrap;Sevag Gharibian,,,,,,,,Merger of:,,,
QIP,2016,regular,Nearoptimal bounds on bounded-round quantum communication complexity of disjointness,Mark Braverman,Mark Braverman;Ankit Garg;Young Kun Ko;Jieming Mao;Dave Touchette,,,,,,,,,,,
QIP,2016,regular,Interactive proofs with approximately commuting provers,Matthew Coudron,Matthew Coudron;Thomas Vidick,,,,,,,,,,,
QIP,2016,regular,Forrelation: A Problem that Optimally Separates Quantum from Classical Computing,Scott Aaronson,Scott Aaronson;Andris Ambainis,,,,,,,,,,,
QIP,2016,regular,Quantum Latin squares and unitary error bases,Benjamin Musto,Benjamin Musto;Jamie Vicary,,,,,,,,,,,
QIP,2016,regular,The Complexity of Translationally Invariant Spin Chains with Low Dimension,Johannes Bausch,Johannes Bausch;Toby Cubitt;Maris Ozols,,,,,,,,,,,
QIP,2016,regular,Estimating operator norms using covering nets with applications to quantum information theory,Fernando Brandao,Fernando Brandao;Aram Harrow,,,,,,,,,,,
QIP,2016,regular,Quantum Boxes: A Framework for Modeling and Composing Quantum Reactive Systems,Christopher Portmann,Christopher Portmann;Christian Matt;Ueli Maurer;Renato Renner;Björn Tackmann,,,,,,,,,,,
QIP,2016,regular,Discrete Wigner function and Clifford group and Zak Webb. The Clifford group forms a unitary 3-design,Huangjun Zhu,Huangjun Zhu,,,,,,,,Merger of:,,,
QIP,2016,regular,The holographic entropy cone,Ning Bao,Ning Bao;Sepehr Nezami;Hirosi Ooguri;Bogdan Stoica;James Sully;Michael Walter,,,,,,,,,,,
QIP,2016,regular,Holographic quantum error-correcting codes: toy models for the bulk/boundary correspondence,Fernando Pastawski,Fernando Pastawski;Beni Yoshida;Daniel Harlow;John Preskill,,,,,,,,,,,
QIP,2016,regular,Classical Verification of Quantum Proofs,Zhengfeng Ji,Zhengfeng Ji,,,,,,,,,,,
QIP,2016,regular,Quantum Expander Codes,Anthony Leverrier,Anthony Leverrier;Jean-Pierre Tillich;Gilles Zemor,,,,,,,,,,,
QIP,2016,regular,Virtual Qubits from Classical Computation,Sergey Bravyi,Sergey Bravyi;Graeme Smith;John Smolin,,,,,,,,,,,
QIP,2016,regular,Additivity in Classical and Quantum Information Theory,Andrew Cross,Andrew Cross;Ke Li;Graeme Smith,,,,,,,,,,,
QIP,2016,regular,Quantum conditional mutual information and approximate Markov chains,Omar Fawzi,Omar Fawzi;Renato Renner,,,,,,,,,,,
QIP,2016,regular,Quantum-proof multi-source randomness extractors in the Markov model,Rotem Arnon-Friedman,Rotem Arnon-Friedman;Christopher Portmann;Volkher Scholz,,,,,,,,,,,
QIP,2016,regular,Noncontextuality violation as a robust quantum resource,Mike Mazurek,Mike Mazurek;Matthew Pusey;Ravi Kunjwal;Kevin Resch;Robert Spekkens,,,,,,,,,,,
QIP,2016,regular,Quantum linear systems algorithm with exponentially improved dependence on precision,Andrew Childs,Andrew Childs;Robin Kothari;Rolando Somma,,,,,,,,,,,
QIP,2016,regular,Doubled color codes,Sergey Bravyi,Sergey Bravyi;Andrew Cross,,,,,,,,,,,
QIP,2016,regular,Separations in query complexity using cheat sheets,Scott Aaronson,Scott Aaronson;Shalev Ben-David;Robin Kothari,,,,,,,(Recipient of the QIP 2016 Best Student Paper Prize),,,,
QIP,2016,regular,Implementing a quantum algorithm for spectrum estimation with alkaline earth atoms,Michael Beverland,Michael Beverland;Gorjan Alagic;Jeongwan Haah;Gretchen Campbell;Ana Maria Rey;Alexey Gorshkov,,,,,,,,,,,
QIP,2016,regular,Discriminating quantum states: the multiple Chernoff distance,Ke Li,Ke Li,,,,,,,,,,,
QIP,2016,regular,An Energy Barrier is Necessary for the Thermal Stability of Stabilizer Quantum Memories,Anna Komar,Anna Komar;Olivier Landon-Cardinal;Kristan Temme,,,,,,,,,,,
QIP,2016,regular,Dvoretzky's theorem and the complexity of entanglement detection,Guillaume Aubrun,Guillaume Aubrun;Szarek Stanislaw,,,,,,,,,,,
QIP,2016,regular,Complexity classification of 2-qubit commuting hamiltonians,Adam Bouland,Adam Bouland;Laura Mančinska;Xue Zhang,,,,,,,,,,,
QIP,2016,regular,A framework for qubit unitary synthesis,Vadym Kliuchnikov,Vadym Kliuchnikov;Alex Bocharov;Martin Roetteler;Jon Yard,,,,,,,,,,,
QIP,2016,regular,Local Hamiltonians with No Low-energy Trivial States,Lior Eldar,Lior Eldar;Aram Harrow,,,,,,,,,,,
