venue,year,paper_type,is_proceedings_track,title,speakers,authors,affiliations,arxiv_ids,session_name,scheduled_date,scheduled_time,duration_minutes,presentation_url,video_url,youtube_id,award,notes
TQC,2019,regular,FALSE,Unforgeable Authentication and Signing of Quantum States,Gorjan Alagic; Tommaso Gagliardoni; Christian Majenz,Gorjan Alagic; Tommaso Gagliardoni; Christian Majenz,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Faster quantum simulation by randomization,Andrew Childs; Aaron Ostrander; Yuan Su,Andrew Childs; Aaron Ostrander; Yuan Su,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Nearly optimal lattice simulation by product formulas,Andrew Childs; Yuan Su,Andrew Childs; Yuan Su,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,The RGB No-Signalling Game,Xavier Coiteux-Roy; Claude Crépeau,Xavier Coiteux-Roy; Claude Crépeau,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,A simple protocol for verifiable delegation of quantum computation in one round,Alex Bredariol Grilo,Alex Bredariol Grilo,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Convexity and Operational Interpretation of the Quantum Information Bottleneck Function,Nilanjana Datta; Christoph Hirche; Andreas Winter,Nilanjana Datta; Christoph Hirche; Andreas Winter,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Axiomatic theory of Higher-Order Quantum Computation,Alessandro Bisio; Paolo Perinotti,Alessandro Bisio; Paolo Perinotti,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,A resource theory of entanglement with a unique multipartite maximally entangled state,Patricia Contreras Tejada; Carlos Palazuelos; Julio de Vicente,Patricia Contreras Tejada; Carlos Palazuelos; Julio de Vicente,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Quantum Advantage for the LOCAL Model in Distributed Computing,Francois Le Gall; Harumichi Nishimura; Ansis Rosmanis,Francois Le Gall; Harumichi Nishimura; Ansis Rosmanis,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Applications of the quantum algorithm for st-connectivity,Kai DeLorenzo; Shelby Kimmel; Raylen Witter,Kai DeLorenzo; Shelby Kimmel; Raylen Witter,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Toy Models of Holographic Duality between local Hamiltonians,Tamara Kohler; Toby Cubitt,Tamara Kohler; Toby Cubitt,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,On Quantum Chosen-Ciphertext Attacks and Learning with Errors,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,Gorjan Alagic; Stacey Jeffery; Maris Ozols; Alexander Poremba,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Continuous groups of transversal gates for quantum error correcting codes from finite clock reference frames,Alvaro Alhambra; Mischa Woods,Alvaro Alhambra; Mischa Woods,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Continuous symmetries and approximate quantum error correction,Philippe Faist; Sepehr Nezami; Victor V. Albert; Grant Salton; Fernando Pastawski; Patrick Hayden; John Preskill,Philippe Faist; Sepehr Nezami; Victor V. Albert; Grant Salton; Fernando Pastawski; Patrick Hayden; John Preskill,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Tensor network representations from the geometry of entangled states,Matthias Christandl; Angelo Lucia; Péter Vrana; Albert H. Werner,Matthias Christandl; Angelo Lucia; Péter Vrana; Albert H. Werner,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,A compressed classical description of quantum states,David Gosset; John Smolin,David Gosset; John Smolin,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,One-way quantum repeater with minimal-resources,Johannes Borregaard; Hannes Pichler; Tim Schröder; Mikhail Lukin; Peter Lodahl; Anders Sørensen,Johannes Borregaard; Hannes Pichler; Tim Schröder; Mikhail Lukin; Peter Lodahl; Anders Sørensen,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Efficient learning of Pauli channels,Joel Wallman; Steve Flammia,Joel Wallman; Steve Flammia,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Catalytic Quantum Randomness,Paul Boes; Henrik Wilming; Rodrigo Gallego; Jens Eisert,Paul Boes; Henrik Wilming; Rodrigo Gallego; Jens Eisert,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,Von Neumann entropy from unitarity,Paul Boes; Jens Eisert; Rodrigo Gallego; Markus Mueller; Henrik Wilming,Paul Boes; Jens Eisert; Rodrigo Gallego; Markus Mueller; Henrik Wilming,,,Accepted,,,,,,,,
TQC,2019,regular,FALSE,History-state Hamiltonians are critical,Toby Cubitt; Carlos Gonzalez-Guillen,Toby Cubitt; Carlos Gonzalez-Guillen,,,Accepted,,,,,,,,
