venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2006,invited,Zero-knowledge against quantum attacks,John Watrous,John Watrous,University of Calgary,,,,,,,,2006-01-16,09:30,50
QIP,2006,regular,Simulating quantum computation by contracting tensor networks,Yaoyun Shi,Yaoyun Shi;Igor Markov,"University of Michigan, Ann Arbor",,,,,,,,2006-01-16,10:50,35
QIP,2006,regular,On the complexity of simulating quantum systems,Frank Verstraete,Frank Verstraete,Caltech,,,,,,,,2006-01-16,11:25,35
QIP,2006,regular,Quantum computation as geometry,Andrew Doherty,Andrew Doherty;Michael Nielsen;Mark Dowling;Mile Gu,University of Queensland,,,,,,,,2006-01-16,12:00,15
QIP,2006,invited,"Fourier sampling, representations, and the hunt for a quantum algorithm for Graph Isomorphism",Cris Moore,Cris Moore;Alex Russell;Leonard Schulman,University of New Mexico,,,,,,,,2006-01-16,14:15,50
QIP,2006,regular,From optimal measurement to efficient quantum algorithms for the hidden subgroup problem over semidirect product groups,Wim van Dam,Wim van Dam;Andrew M. Childs;Dave Bacon,"University of California, Santa Barbara",,,,,,,,2006-01-16,15:35,35
QIP,2006,regular,Extremality of Gaussian quantum states,Michael Wolf,Michael Wolf;Geza Giedke;Ignacio Cirac,"Max Planck Institut f&uuml;r Quantenoptik, Garching",,,,,,,,2006-01-16,16:10,35
QIP,2006,regular,Schumacher compression with minimum time-space product,Masahiro Kitagawa,Masahiro Kitagawa,Osaka University / JST,,,,,,,,2006-01-16,16:45,15
QIP,2006,invited,"Graph Isomorphism, the hidden subgroup problem and distinguishing quantum states",Pranab Sen,Pranab Sen;Sean Hallgren;Martin Rotteler,NEC Labs America,,,,,,,,2006-01-17,09:30,50
QIP,2006,regular,Bounded-Error Quantum State Identification with Applications to Communication Complexity,Dmitry Gavinsky,Dmitry Gavinsky;Julia Kempe;Oded Regev;Ronald de Wolf,University of Calgary,,,,,,,,2006-01-17,10:50,35
QIP,2006,regular,A de Finetti theorem for finite quantum states - Locked correlations and secret keys,Robert Koenig,Robert Koenig;Renato Renner,"CQC, Cambridge",,,,,,,,2006-01-17,11:25,35
QIP,2006,regular,Lower Bounds on Matrix Rigidity via a Quantum Argument,Ronald de Wolf,Ronald de Wolf,CWI,,,,,,,,2006-01-17,12:00,15
QIP,2006,invited,Cryptography in the Bounded Quantum-Storage Model,Christian Schaffner,Christian Schaffner;Ivan B. Damgaard;Serge Fehr;Louis Salvail,"BRICS, University of Aarhus",,,,,,,,2006-01-17,14:15,50
QIP,2006,regular,Verifiable Quantum Secret Sharing and Secure Multi-Party Quantum Computation,Michael Ben-Or,Michael Ben-Or;Claude Cr&eacute;peau;Daniel Gottesman;Avinatan Hassidim;Adam Smith,Hebrew University,,,,,,,,2006-01-17,15:35,35
QIP,2006,regular,Classical and quantum strategies for two-prover bit commitments,Claude Cr&eacute;peau,Claude Cr&eacute;peau;Jean-Raymond Simard;Alain Tapp,McGill University,,,,,,,,2006-01-17,16:10,35
QIP,2006,regular,Unconditionally secure privacy using channels that cannot convey quantum information 1,Karol Horodecki,Karol Horodecki;M. Horodecki;P. Horodecki;D. Leung;H-K. Lo;J. Oppenheim,University of Gdansk,,,,,,,,2006-01-17,16:45,15
QIP,2006,invited,An exponential de Finetti theorem and its applications to quantum cryptography,Renato Renner,Renato Renner,"CQC, Cambridge",,,,,,,,2006-01-18,09:30,50
QIP,2006,regular,The classical and quantum private capacities of a secret shared Cartesian frame,Patrick Hayden,Patrick Hayden;Stephen Bartlett;Robert Spekkens,McGill University,,,,,,,,2006-01-18,10:50,35
QIP,2006,regular,Communicating over adversarial quantum channels,Graeme Smith,Graeme Smith;Aram Harrow;Debbie Leung,Caltech,,,,,,,,2006-01-18,11:25,35
QIP,2006,regular,Quantum communication by erasure channel assisted by back classical communication,Debbie Leung,Debbie Leung;Peter Shor,University of Waterloo,,,,,,,,2006-01-18,12:00,15
