venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QCRYPT,2013,regular,High bit rate quantum key distribution with quantified security,Marco Lucamarini,Marco Lucamarini;Ketaki Patel;James F. Dynes;Bernd Fröhlich;Andrew W. Sharpe;Zhiliang L. Yuan;Richard V. Penty;Andrew J. Shields No permission to videotape,,,,,,,,,,2013-08-06,14:55,
QCRYPT,2013,regular,Poster session . Posters also stay on display for the duration of the conference.,,,,,,,,,,,,2013-08-06,15:50,
QCRYPT,2013,invited,Classical command of quantum systems,Ben Reichardt,Ben Reichardt,,,,../contributions/Reichardt-slides.pdf,http://www.youtube.com/watch?v=Nk415bG9m4g&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,Nk415bG9m4g,,,,2013-08-07,09:00,
QCRYPT,2013,tutorial,Secure multiparty quantum computation (part 1),Michael Ben-Or,Michael Ben-Or,,,,../contributions/Ben-Or-slides.ppt,http://www.youtube.com/watch?v=OYh-ynfBStw&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,OYh-ynfBStw,,,,2013-08-07,09:50,
QCRYPT,2013,tutorial,Secure multiparty quantum computation (part 2),Michael Ben-Or,Michael Ben-Or,,,,,,,,,,2013-08-07,11:00,
QCRYPT,2013,regular,One-sided device independence of BB84 via monogamy-of-entanglement game,Marco Tomamichel,Marco Tomamichel;Serge Fehr;Jedrzej Kaniewski;Stephanie Wehner,,,,../contributions/Tomamichel-slides.pdf,http://www.youtube.com/watch?v=Nu25nK9LqBY&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,Nu25nK9LqBY,,,,2013-08-07,11:45,
QCRYPT,2013,regular,Limits of privacy amplification against non-signalling memory attacks,Rotem Arnon-Friedman,Rotem Arnon-Friedman;Amnon Ta-Shma,,,,../contributions/Arnon-Friedman-abstract.pdf,http://www.youtube.com/watch?v=vXUHCNzP8Pc&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,vXUHCNzP8Pc,,,,2013-08-07,12:10,
QCRYPT,2013,regular,Conference photo,,,,,,,,,,,,2013-08-07,12:35,
QCRYPT,2013,regular,Open session : announces and other thoughts (max 3 min each),,Venue: Festival room;South campus hall (SCH);University of Waterloo Session not videotaped,,,,,,,,,,2013-08-07,21:20,
QCRYPT,2013,invited,Private-key quantum money,Scott Aaronson,Scott Aaronson,,,,../contributions/Aaronson-slides.ppt,http://www.youtube.com/watch?v=_1vCqwGi4bo&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,_1vCqwGi4bo,,,,2013-08-08,09:00,
QCRYPT,2013,tutorial,Single-photon detectors (part 1),Krister Shalm,Krister Shalm,,,,../contributions/Shalm-slides.pdf,http://www.youtube.com/watch?v=Vt84rSJa7VI&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,Vt84rSJa7VI,,,,2013-08-08,09:50,
QCRYPT,2013,tutorial,Single-photon detectors (part 2),Krister Shalm,Krister Shalm,,,,,,,,,,2013-08-08,11:00,
QCRYPT,2013,regular,Specious adversaries and quantum private information retrieval,Ämin Baumeler,Ämin Baumeler;Anne Broadbent,,,,../contributions/Baumeler-abstract.pdf,http://www.youtube.com/watch?v=yi6ZS530rGI&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,yi6ZS530rGI,,,,2013-08-08,11:45,
QCRYPT,2013,regular,Reference frame agreement in quantum networks,Tanvirul Islam,Tanvirul Islam;Loïck Magnin;Brandon Sorg;Stephanie Wehner,,,,../contributions/Islam-abstract.pdf,http://www.youtube.com/watch?v=n4LLYcye8e0&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,n4LLYcye8e0,,,,2013-08-08,12:10,
QCRYPT,2013,invited,Spins and photons: toward quantum networks in diamond,Lilian Childress,Lilian Childress,,,,,https://www.youtube.com/watch?v=8w0n7EfbMI8&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,8w0n7EfbMI8,,,,2013-08-08,13:40,
QCRYPT,2013,regular,Network-centric quantum communications with application to critical infrastructure protection,Richard J. Hughes,Richard J. Hughes;Jane E. Nordholt;Kevin P. McCabe;Raymond T. Newell;Charles G. Peterson;Rolando D. Somma,,,,../contributions/Hughes-abstract.pdf,http://www.youtube.com/watch?v=_A3yW3_nUAg&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,_A3yW3_nUAg,,,,2013-08-08,14:30,
QCRYPT,2013,regular,A high-speed multi-protocol quantum key distribution transmitter based on a dual-drive modulator,Boris Korzh,Boris Korzh;Nino Walenta;Raphael Houlmann;Hugo Zbinden,,,,../contributions/Korzh-abstract.pdf,http://www.youtube.com/watch?v=BC7gXyeu8Ec&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,BC7gXyeu8Ec,,,,2013-08-08,14:55,
QCRYPT,2013,regular,Experimental demonstration of polarization encoding measurement-device-independent quantum key distribution,Zhiyuan Tang,Zhiyuan Tang;Zhongfa Liao;Feihu Xu;Bing Qi;Li Qian;Hoi-Kwong Lo,,,,../contributions/Tang-abstract.pdf,http://www.youtube.com/watch?v=BhAJiTwF2wQ&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,BhAJiTwF2wQ,,,,2013-08-08,15:20,
QCRYPT,2013,invited,High performance single photon detectors using superconductors,Sae Woo Nam No permission to publish video,Sae Woo Nam No permission to publish video,,,,,,,,,,2013-08-09,09:00,
QCRYPT,2013,regular,Security analysis and experimental implementation of a relativistic bit commitment,Jedrzej Kaniewski;Felix Bussieres,Tommaso Lunghi;Jedrzej Kaniewski;Felix Bussieres;Raphael Houlmann;Marco Tomamichel;Adrian Kent;Nicolas Gisin;Stephanie Wehner;Hugo Zbinden,,,,../contributions/Lunghi-slides.pdf,http://www.youtube.com/watch?v=EaHlzk-hKTI&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,EaHlzk-hKTI,,,,2013-08-09,09:50,
QCRYPT,2013,regular,Relativistic quantum cryptography: experimental realization,Igor V. Radchenko,Igor V. Radchenko;Konstantin S. Kravtsov;Sergei P. Kulik;Sergei N. Molotkov,,,,,http://www.youtube.com/watch?v=WSn7DlDI2Co&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,WSn7DlDI2Co,,,,2013-08-09,10:15,
QCRYPT,2013,invited,The structure of a world (which may be) described by quantum mechanics,Anthony Leggett,Anthony Leggett,,,,../contributions/Leggett-slides.pptx,http://www.youtube.com/watch?v=2OnHyJ9CIKM&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,2OnHyJ9CIKM,,,,2013-08-09,11:10,
QCRYPT,2013,regular,Universal uncertainty relations,Gilad Gour,Gilad Gour;Shmuel Friedman;Vlad Gheorghiu,,,,../contributions/Gour-abstract.pdf,http://www.youtube.com/watch?v=C1waz-d1uP8&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,C1waz-d1uP8,,,,2013-08-09,12:00,
QCRYPT,2013,regular,Continuous variable entropic uncertainty relations in the presence of quantum memory,Fabian Furrer,Mario Berta;Matthias Christandl;Fabian Furrer;Volkher Schultz;Marco Tomamichel,,,,../contributions/Berta-abstract.pdf,http://www.youtube.com/watch?v=KofvcX0FfI0&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,KofvcX0FfI0,,,,2013-08-09,12:25,
QCRYPT,2013,regular,Quantum one-time programs,Gus Gutoski,Anne Broadbent;Gus Gutoski;Douglas Stebila,,,,../contributions/Broadbent-abstract.pdf,http://www.youtube.com/watch?v=qvj1l5y99w4&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,qvj1l5y99w4,,,,2013-08-09,13:50,
QCRYPT,2013,regular,Hot topic: Application of detection-loophole-free tests of quantum nonlocality,Bradley G. Christensen,Bradley G. Christensen;Kevin T. McCusker;Joseph B. Altepeter;Brice Calkins;Thomas Gerrits;Adriana E. Lita;Aaron Miller;Lynden K. Shalm;Yanbao Zhang;Sae Woo Nam;Nicolas Brunner;Charles Ci Wen Lim;Nicolas Gisin;Paul G. Kwiat,,,,../contributions/Christensen-abstract.pdf,http://www.youtube.com/watch?v=X28qa4UrO4o&list=PLBRgytHojT9ZyijSJeF6vdCxH5AIfzo61,X28qa4UrO4o,,,,2013-08-09,14:15,
QCRYPT,2013,regular,Concluding remarks,,,,,,,,,,,,2013-08-09,14:40,
QCRYPT,2013,regular,Trip to Niagara Falls,,,,,,,,,,,,2013-08-10,08:00,
